episode - 0/1000, reward_per_episode = 0
episode - 121/1000, reward_per_episode = 611.9073098694121
episode - 122/1000, reward_per_episode = 2005.357500262325
episode - 123/1000, reward_per_episode = 374.06758127897035
episode - 124/1000, reward_per_episode = 197.37284131067491
episode - 125/1000, reward_per_episode = 2026.3740876053973
episode - 126/1000, reward_per_episode = 1656.8329668944705
episode - 127/1000, reward_per_episode = -19.708925466737526
episode - 128/1000, reward_per_episode = 1672.462120245875
episode - 129/1000, reward_per_episode = 1395.335080278262
episode - 130/1000, reward_per_episode = 108.40476843715237
episode - 131/1000, reward_per_episode = -332.0917338003755
episode - 132/1000, reward_per_episode = 2025.713941106425
episode - 133/1000, reward_per_episode = 4810.052195530211
episode - 134/1000, reward_per_episode = -654.6543223306875
episode - 135/1000, reward_per_episode = 2390.307845367536
episode - 136/1000, reward_per_episode = 1672.462120245875
episode - 137/1000, reward_per_episode = 1916.6348722051541
episode - 138/1000, reward_per_episode = 1672.462120245875
episode - 139/1000, reward_per_episode = -84.37638195312365
episode - 140/1000, reward_per_episode = 2598.3640949041505
episode - 141/1000, reward_per_episode = 916.4791094729233
episode - 142/1000, reward_per_episode = 324.23623014975647
episode - 143/1000, reward_per_episode = 1024.4412391855885
episode - 144/1000, reward_per_episode = 543.8931121791724
episode - 145/1000, reward_per_episode = 1010.4453602516371
episode - 146/1000, reward_per_episode = 505.57358282728217
episode - 147/1000, reward_per_episode = 572.8314137813952
episode - 148/1000, reward_per_episode = 714.5607397942606
episode - 149/1000, reward_per_episode = 818.3161540866361
episode - 150/1000, reward_per_episode = 339.77072301482355
episode - 151/1000, reward_per_episode = 3125.0505063388337
episode - 152/1000, reward_per_episode = -230.03193295427593
episode - 153/1000, reward_per_episode = 2133.3810169986796
episode - 154/1000, reward_per_episode = -145.85278754881284
episode - 155/1000, reward_per_episode = 1221.8064683811697
episode - 156/1000, reward_per_episode = 2884.407545659567
episode - 157/1000, reward_per_episode = 339.77072301482355
episode - 158/1000, reward_per_episode = 24.49949124678386
episode - 159/1000, reward_per_episode = 1422.919136908159
episode - 160/1000, reward_per_episode = 2139.0173919432104
episode - 161/1000, reward_per_episode = -95.71961996371857
episode - 162/1000, reward_per_episode = 2009.3040478132236
episode - 163/1000, reward_per_episode = 430.1257174562183
episode - 164/1000, reward_per_episode = 823.3973966139121
