episode - 154/10000, loss = 13310.9208984375
episode - 155/10000, loss = 555.9281616210938
episode - 156/10000, loss = 16478.70703125
episode - 157/10000, loss = 921.8308715820312
episode - 158/10000, loss = 16766.57421875
episode - 159/10000, loss = 16116.7607421875
episode - 160/10000, loss = 427.25048828125
episode - 161/10000, loss = 3038.388427734375
episode - 162/10000, loss = 524.5306396484375
episode - 163/10000, loss = 14680.611328125
episode - 164/10000, loss = 1049.5438232421875
episode - 165/10000, loss = 1658.4493408203125
episode - 166/10000, loss = 3028.661865234375
episode - 167/10000, loss = 7699.73291015625
episode - 168/10000, loss = 4174.984375
episode - 169/10000, loss = 1445.01025390625
episode - 170/10000, loss = 1767.5830078125
episode - 171/10000, loss = 19.09332275390625
episode - 172/10000, loss = 1748.0213623046875
episode - 173/10000, loss = 7896.556640625
episode - 174/10000, loss = 9815.2900390625
episode - 175/10000, loss = 2112.60595703125
episode - 176/10000, loss = 2255.997802734375
episode - 177/10000, loss = 278.74517822265625
episode - 178/10000, loss = 9628.99609375
episode - 179/10000, loss = 32501.357421875
episode - 180/10000, loss = 2532.81689453125
episode - 181/10000, loss = 1442.4754638671875
episode - 182/10000, loss = 1709.909423828125
episode - 183/10000, loss = 13.133573532104492
episode - 184/10000, loss = 11369.4287109375
episode - 185/10000, loss = 2783.509521484375
episode - 186/10000, loss = 18248.828125
episode - 187/10000, loss = 1223.97265625
episode - 188/10000, loss = 312.724853515625
episode - 189/10000, loss = 8366.15234375
episode - 190/10000, loss = 8306.32421875
episode - 191/10000, loss = 3942.236328125
episode - 192/10000, loss = 10319.4736328125
episode - 193/10000, loss = 1067.4197998046875
episode - 194/10000, loss = 763.178955078125
episode - 195/10000, loss = 4035.856201171875
episode - 196/10000, loss = 14777.888671875
episode - 197/10000, loss = 2305.6708984375
episode - 198/10000, loss = 3437.206298828125
episode - 199/10000, loss = 3011.82373046875
episode - 200/10000, loss = 1410.870361328125
episode - 201/10000, loss = 19309.96484375
episode - 202/10000, loss = 12914.005859375
episode - 203/10000, loss = 2002.003662109375
episode - 204/10000, loss = 2537.599853515625
episode - 205/10000, loss = 5178.0341796875
episode - 206/10000, loss = 1869.9378662109375
episode - 207/10000, loss = 12992.505859375
episode - 208/10000, loss = 2875.8671875
episode - 209/10000, loss = 1057.451171875
episode - 210/10000, loss = 2483.20703125
episode - 211/10000, loss = 14734.24609375
episode - 212/10000, loss = 709.6535034179688
episode - 213/10000, loss = 3068.32763671875
episode - 214/10000, loss = 4528.66796875
episode - 215/10000, loss = 651.5988159179688
episode - 216/10000, loss = 5634.935546875
episode - 217/10000, loss = 2831.2138671875
episode - 218/10000, loss = 3073.44921875
episode - 219/10000, loss = 8168.34375
episode - 220/10000, loss = 4610.55322265625
episode - 221/10000, loss = 3008.65576171875
episode - 222/10000, loss = 6939.44873046875
episode - 223/10000, loss = 159.7010498046875
episode - 224/10000, loss = 991.5459594726562
episode - 225/10000, loss = 4813.19970703125
episode - 226/10000, loss = 325.7549743652344
episode - 227/10000, loss = 288.4373779296875
episode - 228/10000, loss = 6078.55615234375
episode - 229/10000, loss = 216.6241912841797
episode - 230/10000, loss = 1033.4190673828125
episode - 231/10000, loss = 238.57540893554688
episode - 232/10000, loss = 8812.181640625
episode - 233/10000, loss = 1335.3902587890625
episode - 234/10000, loss = 2837.337646484375
episode - 235/10000, loss = 2667.364013671875
episode - 236/10000, loss = 3143.606689453125
episode - 237/10000, loss = 825.421630859375
episode - 238/10000, loss = 4590.083984375
episode - 239/10000, loss = 939.6760864257812
episode - 240/10000, loss = 64767.890625
episode - 241/10000, loss = 8367.3193359375
episode - 242/10000, loss = 65255.67578125
episode - 243/10000, loss = 868.88818359375
episode - 244/10000, loss = 4925.11767578125
episode - 245/10000, loss = 3246.7724609375
episode - 246/10000, loss = 400.27056884765625
