episode - 0/10000, loss = 7594.12939453125
episode - 1/10000, loss = 5774.427734375
episode - 2/10000, loss = 6515.84423828125
episode - 3/10000, loss = 4345.486328125
episode - 4/10000, loss = 4899.0859375
episode - 5/10000, loss = 1378.363037109375
episode - 6/10000, loss = 1206.39892578125
episode - 7/10000, loss = 108.06674194335938
episode - 8/10000, loss = 24.76693344116211
episode - 9/10000, loss = 51.21311569213867
episode - 10/10000, loss = 10.01428508758545
episode - 11/10000, loss = 115.80686950683594
episode - 12/10000, loss = 96.86231994628906
episode - 13/10000, loss = 194.1697998046875
episode - 14/10000, loss = 9.079183578491211
episode - 15/10000, loss = 344.1241149902344
episode - 16/10000, loss = 85.14466094970703
episode - 17/10000, loss = 9.911986351013184
episode - 18/10000, loss = 102.74517822265625
episode - 19/10000, loss = 154.61114501953125
episode - 20/10000, loss = 48.146690368652344
episode - 21/10000, loss = 28.9356689453125
episode - 22/10000, loss = 178.71556091308594
episode - 23/10000, loss = 72.0827865600586
episode - 24/10000, loss = 46.21244430541992
episode - 25/10000, loss = 0.3494248390197754
episode - 26/10000, loss = 1.9672313928604126
episode - 27/10000, loss = 0.3086014688014984
episode - 28/10000, loss = 134.00439453125
episode - 29/10000, loss = 80.4892578125
episode - 30/10000, loss = 250.75927734375
episode - 31/10000, loss = 93.88787078857422
episode - 32/10000, loss = 112.55657196044922
episode - 33/10000, loss = 65.13523864746094
episode - 34/10000, loss = 210.73548889160156
episode - 35/10000, loss = 204.3692169189453
episode - 36/10000, loss = 30.738628387451172
episode - 37/10000, loss = 49.85638427734375
episode - 38/10000, loss = 265.6143798828125
episode - 39/10000, loss = 0.2188119888305664
episode - 40/10000, loss = 1.4275776147842407
episode - 41/10000, loss = 48.70623016357422
episode - 42/10000, loss = 45.661224365234375
episode - 43/10000, loss = 98.43376159667969
episode - 44/10000, loss = 37.32204055786133
episode - 45/10000, loss = 179.3116912841797
episode - 46/10000, loss = 13.023457527160645
episode - 47/10000, loss = 230.64683532714844
episode - 48/10000, loss = 0.022429559379816055
episode - 49/10000, loss = 503.8754577636719
