episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = -128.0
episode - 2/10000, accumulative_reward = -218.5
episode - 3/10000, accumulative_reward = -339.0
episode - 4/10000, accumulative_reward = -384.5
episode - 5/10000, accumulative_reward = -452.5
episode - 6/10000, accumulative_reward = -520.5
episode - 7/10000, accumulative_reward = -566.0
episode - 8/10000, accumulative_reward = -671.5
episode - 9/10000, accumulative_reward = -652.0
episode - 10/10000, accumulative_reward = -772.5
episode - 11/10000, accumulative_reward = -825.5
episode - 12/10000, accumulative_reward = -893.5
episode - 13/10000, accumulative_reward = -984.0
episode - 14/10000, accumulative_reward = -1044.5
episode - 15/10000, accumulative_reward = -1127.5
episode - 16/10000, accumulative_reward = -1263.0
episode - 17/10000, accumulative_reward = -1353.5
episode - 18/10000, accumulative_reward = -1429.0
episode - 19/10000, accumulative_reward = -1504.5
episode - 20/10000, accumulative_reward = -1572.5
episode - 21/10000, accumulative_reward = -1610.5
episode - 22/10000, accumulative_reward = -1701.0
episode - 23/10000, accumulative_reward = -1769.0
episode - 24/10000, accumulative_reward = -1837.0
episode - 25/10000, accumulative_reward = -1890.0
episode - 26/10000, accumulative_reward = -1988.0
episode - 27/10000, accumulative_reward = -2063.5
episode - 28/10000, accumulative_reward = -2124.0
episode - 29/10000, accumulative_reward = -2192.0
episode - 30/10000, accumulative_reward = -2230.0
episode - 31/10000, accumulative_reward = -2305.5
episode - 32/10000, accumulative_reward = -2373.5
episode - 33/10000, accumulative_reward = -2374.0
episode - 34/10000, accumulative_reward = -2479.5
episode - 35/10000, accumulative_reward = -2547.5
episode - 36/10000, accumulative_reward = -2520.0
episode - 37/10000, accumulative_reward = -2535.5
episode - 38/10000, accumulative_reward = -2603.5
episode - 39/10000, accumulative_reward = -2634.0
episode - 40/10000, accumulative_reward = -2618.0
episode - 41/10000, accumulative_reward = -2663.5
episode - 42/10000, accumulative_reward = -2701.5
episode - 43/10000, accumulative_reward = -2777.0
episode - 44/10000, accumulative_reward = -2776.5
episode - 45/10000, accumulative_reward = -2792.0
episode - 46/10000, accumulative_reward = -2815.0
episode - 47/10000, accumulative_reward = -2905.5
episode - 48/10000, accumulative_reward = -2921.0
episode - 49/10000, accumulative_reward = -2989.0
episode - 50/10000, accumulative_reward = -3049.5
episode - 51/10000, accumulative_reward = -3132.5
episode - 52/10000, accumulative_reward = -3193.0
episode - 53/10000, accumulative_reward = -3231.0
episode - 54/10000, accumulative_reward = -3314.0
episode - 55/10000, accumulative_reward = -3382.0
episode - 56/10000, accumulative_reward = -3480.0
episode - 57/10000, accumulative_reward = -3533.0
episode - 58/10000, accumulative_reward = -3502.0
episode - 59/10000, accumulative_reward = -3540.0
episode - 60/10000, accumulative_reward = -3608.0
episode - 61/10000, accumulative_reward = -3631.0
episode - 62/10000, accumulative_reward = -3676.5
episode - 63/10000, accumulative_reward = -3722.0
episode - 64/10000, accumulative_reward = -3717.5
episode - 65/10000, accumulative_reward = -3793.0
episode - 66/10000, accumulative_reward = -3883.5
episode - 67/10000, accumulative_reward = -3966.5
episode - 68/10000, accumulative_reward = -3960.5
episode - 69/10000, accumulative_reward = -4021.0
episode - 70/10000, accumulative_reward = -4029.0
episode - 71/10000, accumulative_reward = -4097.0
episode - 72/10000, accumulative_reward = -4120.0
episode - 73/10000, accumulative_reward = -4143.0
episode - 74/10000, accumulative_reward = -4218.5
episode - 75/10000, accumulative_reward = -4294.0
episode - 76/10000, accumulative_reward = -4362.0
episode - 77/10000, accumulative_reward = -4430.0
episode - 78/10000, accumulative_reward = -4483.0
episode - 79/10000, accumulative_reward = -4566.0
episode - 80/10000, accumulative_reward = -4634.0
episode - 81/10000, accumulative_reward = -4687.0
episode - 82/10000, accumulative_reward = -4686.5
episode - 83/10000, accumulative_reward = -4674.5
episode - 84/10000, accumulative_reward = -4735.0
episode - 85/10000, accumulative_reward = -4568.0
episode - 86/10000, accumulative_reward = -4583.5
episode - 87/10000, accumulative_reward = -4584.0
episode - 88/10000, accumulative_reward = -4578.0
episode - 89/10000, accumulative_reward = -4593.5
episode - 90/10000, accumulative_reward = -4669.0
episode - 91/10000, accumulative_reward = -4722.0
episode - 92/10000, accumulative_reward = -4752.5
episode - 93/10000, accumulative_reward = -4843.0
episode - 94/10000, accumulative_reward = -4843.5
episode - 95/10000, accumulative_reward = -4881.5
episode - 96/10000, accumulative_reward = -4942.0
episode - 97/10000, accumulative_reward = -5032.5
episode - 98/10000, accumulative_reward = -4867.5
episode - 99/10000, accumulative_reward = -4905.5
episode - 100/10000, accumulative_reward = -4973.5
episode - 101/10000, accumulative_reward = -5056.5
