episode - 0/40000, reward_per_episode = 0
episode - 145/40000, reward_per_episode = 107.5
episode - 146/40000, reward_per_episode = 58.0
episode - 147/40000, reward_per_episode = 40.0
episode - 148/40000, reward_per_episode = 82.5
episode - 149/40000, reward_per_episode = 10.0
episode - 150/40000, reward_per_episode = 107.5
episode - 151/40000, reward_per_episode = 107.5
episode - 152/40000, reward_per_episode = 43.0
episode - 153/40000, reward_per_episode = 106.5
episode - 154/40000, reward_per_episode = 86.0
episode - 155/40000, reward_per_episode = 125.0
episode - 156/40000, reward_per_episode = 59.5
episode - 157/40000, reward_per_episode = 107.5
episode - 158/40000, reward_per_episode = 88.0
episode - 159/40000, reward_per_episode = 107.5
episode - 160/40000, reward_per_episode = 80.5
episode - 161/40000, reward_per_episode = 95.5
episode - 162/40000, reward_per_episode = 64.0
episode - 163/40000, reward_per_episode = 103.0
episode - 164/40000, reward_per_episode = 74.5
episode - 165/40000, reward_per_episode = 118.0
episode - 166/40000, reward_per_episode = 52.0
episode - 167/40000, reward_per_episode = 107.5
episode - 168/40000, reward_per_episode = 107.5
episode - 169/40000, reward_per_episode = 112.5
episode - 170/40000, reward_per_episode = 115.0
episode - 171/40000, reward_per_episode = 107.5
episode - 172/40000, reward_per_episode = 46.0
episode - 173/40000, reward_per_episode = 43.0
episode - 174/40000, reward_per_episode = 109.0
episode - 175/40000, reward_per_episode = 103.5
episode - 176/40000, reward_per_episode = 107.5
episode - 177/40000, reward_per_episode = 79.0
episode - 178/40000, reward_per_episode = 16.0
episode - 179/40000, reward_per_episode = 107.5
episode - 180/40000, reward_per_episode = 109.0
episode - 181/40000, reward_per_episode = 85.0
episode - 182/40000, reward_per_episode = 107.5
episode - 183/40000, reward_per_episode = 107.5
episode - 184/40000, reward_per_episode = 28.0
episode - 185/40000, reward_per_episode = 61.0
episode - 186/40000, reward_per_episode = 117.5
episode - 187/40000, reward_per_episode = 127.5
episode - 188/40000, reward_per_episode = 107.5
episode - 189/40000, reward_per_episode = 107.5
episode - 190/40000, reward_per_episode = 107.5
episode - 191/40000, reward_per_episode = 107.5
episode - 192/40000, reward_per_episode = 115.5
episode - 193/40000, reward_per_episode = 111.5
episode - 194/40000, reward_per_episode = 128.0
episode - 195/40000, reward_per_episode = 102.0
episode - 196/40000, reward_per_episode = 107.5
episode - 197/40000, reward_per_episode = 107.5
episode - 198/40000, reward_per_episode = 87.5
episode - 199/40000, reward_per_episode = 107.5
episode - 200/40000, reward_per_episode = 25.0
episode - 201/40000, reward_per_episode = 86.0
episode - 202/40000, reward_per_episode = 115.5
episode - 203/40000, reward_per_episode = 124.0
episode - 204/40000, reward_per_episode = 112.5
episode - 205/40000, reward_per_episode = -5.0
episode - 206/40000, reward_per_episode = 103.0
episode - 207/40000, reward_per_episode = 82.0
episode - 208/40000, reward_per_episode = 107.5
episode - 209/40000, reward_per_episode = 107.5
episode - 210/40000, reward_per_episode = 95.0
episode - 211/40000, reward_per_episode = 107.5
episode - 212/40000, reward_per_episode = 76.0
episode - 213/40000, reward_per_episode = 67.0
episode - 214/40000, reward_per_episode = 121.0
episode - 215/40000, reward_per_episode = 107.5
episode - 216/40000, reward_per_episode = 67.0
episode - 217/40000, reward_per_episode = 107.5
episode - 218/40000, reward_per_episode = 46.0
episode - 219/40000, reward_per_episode = 107.5
episode - 220/40000, reward_per_episode = 140.0
episode - 221/40000, reward_per_episode = 82.0
episode - 222/40000, reward_per_episode = 95.0
episode - 223/40000, reward_per_episode = 107.5
episode - 224/40000, reward_per_episode = 107.5
episode - 225/40000, reward_per_episode = 128.0
episode - 226/40000, reward_per_episode = 107.5
episode - 227/40000, reward_per_episode = 107.5
episode - 228/40000, reward_per_episode = 115.0
episode - 229/40000, reward_per_episode = 49.0
episode - 230/40000, reward_per_episode = 103.0
episode - 231/40000, reward_per_episode = 103.0
episode - 232/40000, reward_per_episode = 106.0
episode - 233/40000, reward_per_episode = 112.0
episode - 234/40000, reward_per_episode = 131.5
episode - 235/40000, reward_per_episode = 59.5
episode - 236/40000, reward_per_episode = 95.5
episode - 237/40000, reward_per_episode = 111.5
episode - 238/40000, reward_per_episode = 34.0
episode - 239/40000, reward_per_episode = 140.5
episode - 240/40000, reward_per_episode = 107.5
episode - 241/40000, reward_per_episode = 94.0
episode - 242/40000, reward_per_episode = 109.5
episode - 243/40000, reward_per_episode = 82.0
episode - 244/40000, reward_per_episode = 71.5
episode - 245/40000, reward_per_episode = 121.5
episode - 246/40000, reward_per_episode = 76.0
episode - 247/40000, reward_per_episode = 106.5
episode - 248/40000, reward_per_episode = 107.5
episode - 249/40000, reward_per_episode = 61.0
episode - 250/40000, reward_per_episode = 108.0
episode - 251/40000, reward_per_episode = 107.5
episode - 252/40000, reward_per_episode = 100.0
episode - 253/40000, reward_per_episode = 111.5
episode - 254/40000, reward_per_episode = 76.0
episode - 255/40000, reward_per_episode = 31.0
episode - 256/40000, reward_per_episode = 101.5
episode - 257/40000, reward_per_episode = 85.0
episode - 258/40000, reward_per_episode = 127.5
episode - 259/40000, reward_per_episode = 73.0
episode - 260/40000, reward_per_episode = 82.0
episode - 261/40000, reward_per_episode = 77.5
episode - 262/40000, reward_per_episode = 90.0
episode - 263/40000, reward_per_episode = 89.5
episode - 264/40000, reward_per_episode = 49.0
episode - 265/40000, reward_per_episode = 62.5
episode - 266/40000, reward_per_episode = 97.5
episode - 267/40000, reward_per_episode = 71.5
episode - 268/40000, reward_per_episode = 137.5
episode - 269/40000, reward_per_episode = 131.5
episode - 270/40000, reward_per_episode = 107.5
episode - 271/40000, reward_per_episode = 128.0
episode - 272/40000, reward_per_episode = 107.5
episode - 273/40000, reward_per_episode = 62.5
episode - 274/40000, reward_per_episode = 22.0
episode - 275/40000, reward_per_episode = 108.0
episode - 276/40000, reward_per_episode = 107.5
episode - 277/40000, reward_per_episode = 111.5
episode - 278/40000, reward_per_episode = 96.0
episode - 279/40000, reward_per_episode = 107.5
episode - 280/40000, reward_per_episode = 107.5
episode - 281/40000, reward_per_episode = 115.0
episode - 282/40000, reward_per_episode = 25.0
episode - 283/40000, reward_per_episode = 107.5
episode - 284/40000, reward_per_episode = 107.5
episode - 285/40000, reward_per_episode = 107.5
episode - 286/40000, reward_per_episode = 111.5
episode - 287/40000, reward_per_episode = 49.0
episode - 288/40000, reward_per_episode = 121.0
episode - 289/40000, reward_per_episode = 107.5
episode - 290/40000, reward_per_episode = 107.5
episode - 291/40000, reward_per_episode = 64.0
episode - 292/40000, reward_per_episode = 120.5
episode - 293/40000, reward_per_episode = 97.0
episode - 294/40000, reward_per_episode = 107.5
episode - 295/40000, reward_per_episode = 107.5
episode - 296/40000, reward_per_episode = 43.0
episode - 297/40000, reward_per_episode = 107.5
episode - 298/40000, reward_per_episode = -14.0
episode - 299/40000, reward_per_episode = 94.0
episode - 300/40000, reward_per_episode = 107.5
episode - 301/40000, reward_per_episode = 85.0
episode - 302/40000, reward_per_episode = 114.5
episode - 303/40000, reward_per_episode = 49.0
episode - 304/40000, reward_per_episode = 115.0
episode - 305/40000, reward_per_episode = 10.0
episode - 306/40000, reward_per_episode = 4.0
episode - 307/40000, reward_per_episode = 97.5
episode - 308/40000, reward_per_episode = 107.5
episode - 309/40000, reward_per_episode = 107.5
episode - 310/40000, reward_per_episode = -5.0
episode - 311/40000, reward_per_episode = 114.5
episode - 312/40000, reward_per_episode = 70.0
episode - 313/40000, reward_per_episode = 70.0
episode - 314/40000, reward_per_episode = 107.5
episode - 315/40000, reward_per_episode = 22.0
episode - 316/40000, reward_per_episode = 82.5
episode - 317/40000, reward_per_episode = 128.0
episode - 318/40000, reward_per_episode = 134.0
episode - 319/40000, reward_per_episode = 107.5
episode - 320/40000, reward_per_episode = 115.0
episode - 321/40000, reward_per_episode = 107.5
episode - 322/40000, reward_per_episode = 109.0
episode - 323/40000, reward_per_episode = 107.5
episode - 324/40000, reward_per_episode = 140.0
episode - 325/40000, reward_per_episode = 107.5
episode - 326/40000, reward_per_episode = 23.5
episode - 327/40000, reward_per_episode = 97.5
episode - 328/40000, reward_per_episode = 37.0
episode - 329/40000, reward_per_episode = 107.5
episode - 330/40000, reward_per_episode = 76.0
episode - 331/40000, reward_per_episode = 107.5
episode - 332/40000, reward_per_episode = 22.0
episode - 333/40000, reward_per_episode = 82.5
episode - 334/40000, reward_per_episode = 99.5
episode - 335/40000, reward_per_episode = 107.5
episode - 336/40000, reward_per_episode = 107.5
episode - 337/40000, reward_per_episode = 107.5
episode - 338/40000, reward_per_episode = 107.5
episode - 339/40000, reward_per_episode = 16.0
episode - 340/40000, reward_per_episode = 107.5
episode - 341/40000, reward_per_episode = 133.5
episode - 342/40000, reward_per_episode = 37.0
episode - 343/40000, reward_per_episode = 137.5
episode - 344/40000, reward_per_episode = 134.0
episode - 345/40000, reward_per_episode = 71.5
episode - 346/40000, reward_per_episode = 114.5
episode - 347/40000, reward_per_episode = 132.5
episode - 348/40000, reward_per_episode = 119.5
episode - 349/40000, reward_per_episode = 128.0
episode - 350/40000, reward_per_episode = 62.5
episode - 351/40000, reward_per_episode = 110.5
episode - 352/40000, reward_per_episode = 117.5
episode - 353/40000, reward_per_episode = 107.5
episode - 354/40000, reward_per_episode = 107.5
episode - 355/40000, reward_per_episode = 107.5
episode - 356/40000, reward_per_episode = 107.5
episode - 357/40000, reward_per_episode = 120.5
episode - 358/40000, reward_per_episode = 107.5
episode - 359/40000, reward_per_episode = 137.0
episode - 360/40000, reward_per_episode = 107.5
episode - 361/40000, reward_per_episode = 107.5
episode - 362/40000, reward_per_episode = 62.5
episode - 363/40000, reward_per_episode = 104.0
episode - 364/40000, reward_per_episode = 115.0
episode - 365/40000, reward_per_episode = 107.5
episode - 366/40000, reward_per_episode = 107.5
episode - 367/40000, reward_per_episode = 41.5
episode - 368/40000, reward_per_episode = 107.5
episode - 369/40000, reward_per_episode = 106.0
episode - 370/40000, reward_per_episode = 107.5
episode - 371/40000, reward_per_episode = 107.5
episode - 372/40000, reward_per_episode = 107.5
episode - 373/40000, reward_per_episode = 107.5
episode - 374/40000, reward_per_episode = 107.5
episode - 375/40000, reward_per_episode = 107.5
episode - 376/40000, reward_per_episode = 107.5
episode - 377/40000, reward_per_episode = 140.0
episode - 378/40000, reward_per_episode = 70.0
episode - 379/40000, reward_per_episode = 58.0
episode - 380/40000, reward_per_episode = 114.0
episode - 381/40000, reward_per_episode = 62.5
episode - 382/40000, reward_per_episode = -2.0
episode - 383/40000, reward_per_episode = -3.5
episode - 384/40000, reward_per_episode = 107.5
episode - 385/40000, reward_per_episode = 114.5
episode - 386/40000, reward_per_episode = 107.5
episode - 387/40000, reward_per_episode = 114.5
episode - 388/40000, reward_per_episode = 107.5
episode - 389/40000, reward_per_episode = 13.0
episode - 390/40000, reward_per_episode = 108.0
episode - 391/40000, reward_per_episode = 107.5
episode - 392/40000, reward_per_episode = 107.5
episode - 393/40000, reward_per_episode = 114.5
episode - 394/40000, reward_per_episode = 107.5
episode - 395/40000, reward_per_episode = 107.5
episode - 396/40000, reward_per_episode = 112.0
episode - 397/40000, reward_per_episode = 117.5
episode - 398/40000, reward_per_episode = 55.0
episode - 399/40000, reward_per_episode = 127.0
episode - 400/40000, reward_per_episode = 107.5
