episode - 0/40000, accumulative_reward = 0
episode - 142/40000, accumulative_reward = 4965.5
episode - 143/40000, accumulative_reward = 5083.0
episode - 144/40000, accumulative_reward = 5178.5
episode - 145/40000, accumulative_reward = 5286.0
episode - 146/40000, accumulative_reward = 5344.0
episode - 147/40000, accumulative_reward = 5384.0
episode - 148/40000, accumulative_reward = 5466.5
episode - 149/40000, accumulative_reward = 5476.5
episode - 150/40000, accumulative_reward = 5584.0
episode - 151/40000, accumulative_reward = 5691.5
episode - 152/40000, accumulative_reward = 5734.5
episode - 153/40000, accumulative_reward = 5841.0
episode - 154/40000, accumulative_reward = 5927.0
episode - 155/40000, accumulative_reward = 6052.0
episode - 156/40000, accumulative_reward = 6111.5
episode - 157/40000, accumulative_reward = 6219.0
episode - 158/40000, accumulative_reward = 6307.0
episode - 159/40000, accumulative_reward = 6414.5
episode - 160/40000, accumulative_reward = 6495.0
episode - 161/40000, accumulative_reward = 6590.5
episode - 162/40000, accumulative_reward = 6654.5
episode - 163/40000, accumulative_reward = 6757.5
episode - 164/40000, accumulative_reward = 6832.0
episode - 165/40000, accumulative_reward = 6950.0
episode - 166/40000, accumulative_reward = 7002.0
episode - 167/40000, accumulative_reward = 7109.5
episode - 168/40000, accumulative_reward = 7217.0
episode - 169/40000, accumulative_reward = 7329.5
episode - 170/40000, accumulative_reward = 7444.5
episode - 171/40000, accumulative_reward = 7552.0
episode - 172/40000, accumulative_reward = 7598.0
episode - 173/40000, accumulative_reward = 7641.0
episode - 174/40000, accumulative_reward = 7750.0
episode - 175/40000, accumulative_reward = 7853.5
episode - 176/40000, accumulative_reward = 7961.0
episode - 177/40000, accumulative_reward = 8040.0
episode - 178/40000, accumulative_reward = 8056.0
episode - 179/40000, accumulative_reward = 8163.5
episode - 180/40000, accumulative_reward = 8272.5
episode - 181/40000, accumulative_reward = 8357.5
episode - 182/40000, accumulative_reward = 8465.0
episode - 183/40000, accumulative_reward = 8572.5
episode - 184/40000, accumulative_reward = 8600.5
episode - 185/40000, accumulative_reward = 8661.5
episode - 186/40000, accumulative_reward = 8779.0
episode - 187/40000, accumulative_reward = 8906.5
episode - 188/40000, accumulative_reward = 9014.0
