episode - 150/40000, loss = 54.56580352783203
episode - 151/40000, loss = 0.0957689881324768
episode - 152/40000, loss = 31.144519805908203
episode - 153/40000, loss = 9.178749084472656
episode - 154/40000, loss = 133.2864532470703
episode - 155/40000, loss = 65.27715301513672
episode - 156/40000, loss = 13.004150390625
episode - 157/40000, loss = 138.6226348876953
episode - 158/40000, loss = 92.880615234375
episode - 159/40000, loss = 0.6841477155685425
episode - 160/40000, loss = 10.465556144714355
episode - 161/40000, loss = 9.779111862182617
episode - 162/40000, loss = 78.86324310302734
episode - 163/40000, loss = 61.78484344482422
episode - 164/40000, loss = 63.68889236450195
episode - 165/40000, loss = 35.72860336303711
episode - 166/40000, loss = 54.227264404296875
episode - 167/40000, loss = 28.514888763427734
episode - 168/40000, loss = 30.443626403808594
episode - 169/40000, loss = 25.256061553955078
episode - 170/40000, loss = 36.42652893066406
episode - 171/40000, loss = 1.4831498861312866
episode - 172/40000, loss = 5.783441066741943
episode - 173/40000, loss = 32.78249740600586
episode - 174/40000, loss = 23.58293914794922
episode - 175/40000, loss = 11.553523063659668
episode - 176/40000, loss = 4.400713920593262
episode - 177/40000, loss = 19.457006454467773
episode - 178/40000, loss = 8.467460632324219
episode - 179/40000, loss = 62.16633987426758
episode - 180/40000, loss = 5.511573791503906
episode - 181/40000, loss = 16.974021911621094
episode - 182/40000, loss = 80.14273834228516
episode - 183/40000, loss = 1.9809335470199585
episode - 184/40000, loss = 54.250953674316406
episode - 185/40000, loss = 21.293292999267578
episode - 186/40000, loss = 0.2768707573413849
episode - 187/40000, loss = 63.78616714477539
episode - 188/40000, loss = 247.09234619140625
episode - 189/40000, loss = 4.546440601348877
episode - 190/40000, loss = 44.08418273925781
episode - 191/40000, loss = 7.511309623718262
episode - 192/40000, loss = 16.25316047668457
episode - 193/40000, loss = 0.903679609298706
episode - 194/40000, loss = 38.90593338012695
episode - 195/40000, loss = 849.8775024414062
episode - 196/40000, loss = 67.29097747802734
episode - 197/40000, loss = 3.5945987701416016
episode - 198/40000, loss = 84.88272857666016
episode - 199/40000, loss = 81.04261016845703
episode - 200/40000, loss = 55.275856018066406
episode - 201/40000, loss = 18.63393211364746
episode - 202/40000, loss = 51.40922927856445
episode - 203/40000, loss = 0.07153274118900299
episode - 204/40000, loss = 37.450172424316406
episode - 205/40000, loss = 167.67239379882812
episode - 206/40000, loss = 1.4969878196716309
episode - 207/40000, loss = 135.47608947753906
episode - 208/40000, loss = 34.74150848388672
episode - 209/40000, loss = 168.96717834472656
episode - 210/40000, loss = 1.0652514696121216
episode - 211/40000, loss = 5.280900001525879
episode - 212/40000, loss = 60.33198165893555
episode - 213/40000, loss = 78.55614471435547
episode - 214/40000, loss = 279.2359313964844
episode - 215/40000, loss = 144.4105224609375
episode - 216/40000, loss = 148.31607055664062
episode - 217/40000, loss = 12.17633056640625
episode - 218/40000, loss = 62.27656173706055
episode - 219/40000, loss = 55.716888427734375
episode - 220/40000, loss = 1.1069629192352295
episode - 221/40000, loss = 108.46836853027344
episode - 222/40000, loss = 68.0340347290039
episode - 223/40000, loss = 86.99555206298828
episode - 224/40000, loss = 254.19471740722656
episode - 225/40000, loss = 40.80189514160156
episode - 226/40000, loss = 42.57691955566406
episode - 227/40000, loss = 0.9876747727394104
episode - 228/40000, loss = 132.3636016845703
episode - 229/40000, loss = 6.678936958312988
episode - 230/40000, loss = 0.5668399333953857
episode - 231/40000, loss = 4.692053318023682
episode - 232/40000, loss = 17.495874404907227
episode - 233/40000, loss = 0.36841410398483276
episode - 234/40000, loss = 30.562219619750977
episode - 235/40000, loss = 0.7199413776397705
episode - 236/40000, loss = 57.66828536987305
episode - 237/40000, loss = 52.69384002685547
episode - 238/40000, loss = 49.557167053222656
episode - 239/40000, loss = 1.9561315774917603
episode - 240/40000, loss = 22.236406326293945
episode - 241/40000, loss = 1.401607632637024
episode - 242/40000, loss = 28.056293487548828
episode - 243/40000, loss = 30.85624885559082
episode - 244/40000, loss = 70.94805908203125
episode - 245/40000, loss = 54.91273498535156
episode - 246/40000, loss = 116.15117645263672
episode - 247/40000, loss = 18.40654182434082
episode - 248/40000, loss = 4.905769348144531
episode - 249/40000, loss = 14.84483528137207
episode - 250/40000, loss = 38.11351776123047
episode - 251/40000, loss = 1.6612002849578857
episode - 252/40000, loss = 454.6189270019531
episode - 253/40000, loss = 15.030765533447266
episode - 254/40000, loss = 1.6205283403396606
episode - 255/40000, loss = 27.85832977294922
episode - 256/40000, loss = 30.11631202697754
episode - 257/40000, loss = 136.12911987304688
episode - 258/40000, loss = 4.0191192626953125
episode - 259/40000, loss = 105.79064178466797
episode - 260/40000, loss = 2.1939964294433594
episode - 261/40000, loss = 3.96415376663208
episode - 262/40000, loss = 18.5258846282959
episode - 263/40000, loss = 23.036935806274414
episode - 264/40000, loss = 265.2679443359375
episode - 265/40000, loss = 2.774298906326294
episode - 266/40000, loss = 52.090911865234375
episode - 267/40000, loss = 42.37540817260742
episode - 268/40000, loss = 146.91799926757812
episode - 269/40000, loss = 57.38861083984375
episode - 270/40000, loss = 125.76223754882812
episode - 271/40000, loss = 12.432770729064941
episode - 272/40000, loss = 6.782144069671631
episode - 273/40000, loss = 41.132232666015625
episode - 274/40000, loss = 26.471559524536133
episode - 275/40000, loss = 15.008914947509766
episode - 276/40000, loss = 34.25578689575195
episode - 277/40000, loss = 0.6866505742073059
episode - 278/40000, loss = 65.54547119140625
episode - 279/40000, loss = 269.0940246582031
episode - 280/40000, loss = 110.51561737060547
episode - 281/40000, loss = 30.769420623779297
episode - 282/40000, loss = 2.8414089679718018
episode - 283/40000, loss = 8.811845779418945
episode - 284/40000, loss = 5.583259105682373
episode - 285/40000, loss = 49.13019561767578
episode - 286/40000, loss = 71.80633544921875
episode - 287/40000, loss = 0.5588809251785278
episode - 288/40000, loss = 13.998714447021484
episode - 289/40000, loss = 107.0770263671875
episode - 290/40000, loss = 77.24151611328125
episode - 291/40000, loss = 39.23286437988281
episode - 292/40000, loss = 59.99953079223633
episode - 293/40000, loss = 5.551962375640869
episode - 294/40000, loss = 6.113193988800049
episode - 295/40000, loss = 35.79075241088867
episode - 296/40000, loss = 14.924617767333984
episode - 297/40000, loss = 8.963398933410645
episode - 298/40000, loss = 164.55316162109375
episode - 299/40000, loss = 41.09029769897461
episode - 300/40000, loss = 9.481595039367676
episode - 301/40000, loss = 25.08707046508789
episode - 302/40000, loss = 7.644103527069092
episode - 303/40000, loss = 5.604551792144775
episode - 304/40000, loss = 89.0615463256836
episode - 305/40000, loss = 52.41008377075195
episode - 306/40000, loss = 34.060726165771484
episode - 307/40000, loss = 21.637346267700195
episode - 308/40000, loss = 45.30698776245117
episode - 309/40000, loss = 4.205711364746094
episode - 310/40000, loss = 60.16959762573242
episode - 311/40000, loss = 1.8457775115966797
episode - 312/40000, loss = 105.71143341064453
episode - 313/40000, loss = 63.04183578491211
episode - 314/40000, loss = 100.29339599609375
episode - 315/40000, loss = 11.781189918518066
episode - 316/40000, loss = 25.532264709472656
episode - 317/40000, loss = 192.77191162109375
episode - 318/40000, loss = 1.5083885192871094
episode - 319/40000, loss = 47.11368942260742
episode - 320/40000, loss = 14.959136962890625
episode - 321/40000, loss = 13.822151184082031
episode - 322/40000, loss = 28.036319732666016
episode - 323/40000, loss = 21.48699378967285
episode - 324/40000, loss = 0.008197134360671043
episode - 325/40000, loss = 0.6766415238380432
episode - 326/40000, loss = 0.3414388597011566
episode - 327/40000, loss = 0.6978670358657837
episode - 328/40000, loss = 67.93525695800781
episode - 329/40000, loss = 124.9868392944336
episode - 330/40000, loss = 7.220718860626221
episode - 331/40000, loss = 0.056543681770563126
episode - 332/40000, loss = 5.881516456604004
episode - 333/40000, loss = 1.2966301441192627
episode - 334/40000, loss = 87.58040618896484
episode - 335/40000, loss = 109.30638885498047
episode - 336/40000, loss = 1.698021411895752
episode - 337/40000, loss = 55.56235122680664
episode - 338/40000, loss = 16.862533569335938
episode - 339/40000, loss = 0.5168538689613342
episode - 340/40000, loss = 23.256269454956055
episode - 341/40000, loss = 62.40608215332031
episode - 342/40000, loss = 13.228012084960938
episode - 343/40000, loss = 14.188163757324219
episode - 344/40000, loss = 44.097900390625
episode - 345/40000, loss = 12.19258975982666
episode - 346/40000, loss = 45.49243927001953
episode - 347/40000, loss = 29.915258407592773
episode - 348/40000, loss = 10.488924026489258
episode - 349/40000, loss = 35.770477294921875
episode - 350/40000, loss = 84.54889678955078
episode - 351/40000, loss = 1.9948071241378784
episode - 352/40000, loss = 13.244610786437988
episode - 353/40000, loss = 5.559263706207275
episode - 354/40000, loss = 3.379188299179077
episode - 355/40000, loss = 12.00096607208252
episode - 356/40000, loss = 27.515775680541992
episode - 357/40000, loss = 103.59305572509766
episode - 358/40000, loss = 11.81698989868164
episode - 359/40000, loss = 15.78475570678711
episode - 360/40000, loss = 81.24442291259766
episode - 361/40000, loss = 43.772796630859375
episode - 362/40000, loss = 20.087215423583984
episode - 363/40000, loss = 4.269845485687256
episode - 364/40000, loss = 24.011323928833008
episode - 365/40000, loss = 27.53803253173828
episode - 366/40000, loss = 1.067516565322876
episode - 367/40000, loss = 225.2972412109375
episode - 368/40000, loss = 24.904151916503906
episode - 369/40000, loss = 72.3023452758789
episode - 370/40000, loss = 3.803708076477051
episode - 371/40000, loss = 32.86752700805664
episode - 372/40000, loss = 18.675138473510742
episode - 373/40000, loss = 43.63125991821289
episode - 374/40000, loss = 96.40904235839844
episode - 375/40000, loss = 92.53832244873047
episode - 376/40000, loss = 52.9454231262207
episode - 377/40000, loss = 161.042724609375
episode - 378/40000, loss = 0.5998367667198181
episode - 379/40000, loss = 37.01639938354492
episode - 380/40000, loss = 26.886850357055664
episode - 381/40000, loss = 8.724237442016602
episode - 382/40000, loss = 17.52418327331543
episode - 383/40000, loss = 3.5244336128234863
episode - 384/40000, loss = 0.11077863723039627
episode - 385/40000, loss = 26.804893493652344
episode - 386/40000, loss = 1212.6787109375
episode - 387/40000, loss = 59.085933685302734
episode - 388/40000, loss = 5.006744384765625
episode - 389/40000, loss = 108.42876434326172
episode - 390/40000, loss = 55.67414093017578
episode - 391/40000, loss = 26.020606994628906
episode - 392/40000, loss = 0.9934038519859314
episode - 393/40000, loss = 8.044120788574219
episode - 394/40000, loss = 4.0293660163879395
episode - 395/40000, loss = 26.401323318481445
