episode - 0/10000, loss = 34465.171875
episode - 1/10000, loss = 2375.408447265625
episode - 2/10000, loss = 217.75660705566406
episode - 3/10000, loss = 37053.8515625
episode - 4/10000, loss = 19041.3125
episode - 5/10000, loss = 8526.865234375
episode - 6/10000, loss = 26466.041015625
episode - 7/10000, loss = 82.10086822509766
episode - 8/10000, loss = 17942.814453125
episode - 9/10000, loss = 66.62986755371094
episode - 10/10000, loss = 11710.8623046875
episode - 11/10000, loss = 34409.4140625
episode - 12/10000, loss = 9999.5224609375
episode - 13/10000, loss = 5301.29248046875
episode - 14/10000, loss = 1074.2027587890625
episode - 15/10000, loss = 83692.8046875
episode - 16/10000, loss = 538.3466186523438
episode - 17/10000, loss = 1088.7333984375
episode - 18/10000, loss = 1074.268798828125
episode - 19/10000, loss = 41886.3359375
episode - 20/10000, loss = 14.832752227783203
episode - 21/10000, loss = 35417.55078125
episode - 22/10000, loss = 46079.796875
episode - 23/10000, loss = 10585.771484375
episode - 24/10000, loss = 53324.55859375
episode - 25/10000, loss = 34100.4140625
episode - 26/10000, loss = 17264.201171875
episode - 27/10000, loss = 17629.421875
episode - 28/10000, loss = 4618.08349609375
episode - 29/10000, loss = 17278.3515625
episode - 30/10000, loss = 19950.755859375
episode - 31/10000, loss = 6845.06494140625
episode - 32/10000, loss = 772.096923828125
episode - 33/10000, loss = 18665.0859375
episode - 34/10000, loss = 25448.31640625
episode - 35/10000, loss = 15341.9384765625
episode - 36/10000, loss = 11794.4501953125
episode - 37/10000, loss = 16976.01953125
episode - 38/10000, loss = 1454.0435791015625
episode - 39/10000, loss = 10353.38671875
episode - 40/10000, loss = 9443.4677734375
episode - 41/10000, loss = 40369.61328125
episode - 42/10000, loss = 5794.55224609375
episode - 43/10000, loss = 35346.59375
episode - 44/10000, loss = 15343.12890625
episode - 45/10000, loss = 7157.6064453125
episode - 46/10000, loss = 387.7362365722656
episode - 47/10000, loss = 12456.2646484375
episode - 48/10000, loss = 19098.138671875
episode - 49/10000, loss = 41.58197784423828
episode - 50/10000, loss = 1049.2603759765625
episode - 51/10000, loss = 4.913900852203369
episode - 52/10000, loss = 103705.65625
episode - 53/10000, loss = 294.0664367675781
episode - 54/10000, loss = 3159.83984375
episode - 55/10000, loss = 3462.384033203125
episode - 56/10000, loss = 6501.4365234375
episode - 57/10000, loss = 4360.7939453125
episode - 58/10000, loss = 2385.656494140625
episode - 59/10000, loss = 5868.52783203125
episode - 60/10000, loss = 40113.09375
episode - 61/10000, loss = 41250.9375
episode - 62/10000, loss = 454.96044921875
episode - 63/10000, loss = 10290.4638671875
episode - 64/10000, loss = 5444.01953125
episode - 65/10000, loss = 22186.2734375
episode - 66/10000, loss = 7182.51220703125
episode - 67/10000, loss = 407.6720275878906
episode - 68/10000, loss = 31743.498046875
episode - 69/10000, loss = 34457.265625
episode - 70/10000, loss = 67.58698272705078
episode - 71/10000, loss = 1305.383544921875
episode - 72/10000, loss = 67.6706314086914
episode - 73/10000, loss = 231.7427978515625
episode - 74/10000, loss = 2721.74853515625
episode - 75/10000, loss = 27175.3828125
episode - 76/10000, loss = 999810.4375
episode - 77/10000, loss = 5834.140625
episode - 78/10000, loss = 970.6504516601562
episode - 79/10000, loss = 1887.1634521484375
episode - 80/10000, loss = 71.27002716064453
episode - 81/10000, loss = 67925.9609375
episode - 82/10000, loss = 7530.52734375
episode - 83/10000, loss = 796.143798828125
episode - 84/10000, loss = 18664.41015625
episode - 85/10000, loss = 25430.189453125
episode - 86/10000, loss = 100.10279083251953
episode - 87/10000, loss = 5311.26953125
episode - 88/10000, loss = 13784.4052734375
episode - 89/10000, loss = 235.44192504882812
episode - 90/10000, loss = 6.923646926879883
