episode - 0/10000, reward_per_episode = 0
episode - 123/10000, reward_per_episode = 502.6680799436962
episode - 124/10000, reward_per_episode = -896.9709160328156
episode - 125/10000, reward_per_episode = 35.02104927304967
episode - 126/10000, reward_per_episode = 517.4730060012589
episode - 127/10000, reward_per_episode = -26.734659975204835
episode - 128/10000, reward_per_episode = 261.47109338432836
episode - 129/10000, reward_per_episode = -74.25262718935406
episode - 130/10000, reward_per_episode = -49.79137926487351
episode - 131/10000, reward_per_episode = 644.5436482630057
episode - 132/10000, reward_per_episode = 60.75844528682023
episode - 133/10000, reward_per_episode = 1010.4804838657371
episode - 134/10000, reward_per_episode = 798.2725270141623
episode - 135/10000, reward_per_episode = 695.5121770329984
episode - 136/10000, reward_per_episode = -53.55759448964082
episode - 137/10000, reward_per_episode = 240.0
episode - 138/10000, reward_per_episode = 97.70789415219403
episode - 139/10000, reward_per_episode = -426.6981834358181
episode - 140/10000, reward_per_episode = 274.77563795778866
episode - 141/10000, reward_per_episode = -919.4049178643493
episode - 142/10000, reward_per_episode = 1656.7233171651992
episode - 143/10000, reward_per_episode = 367.91426808650215
episode - 144/10000, reward_per_episode = 569.8258695692459
episode - 145/10000, reward_per_episode = 1806.5205705679218
episode - 146/10000, reward_per_episode = -1113.4215369861918
episode - 147/10000, reward_per_episode = 708.05181098717
episode - 148/10000, reward_per_episode = 490.0
episode - 149/10000, reward_per_episode = 235.0
episode - 150/10000, reward_per_episode = 122.37780826228337
episode - 151/10000, reward_per_episode = 97.70789415219403
episode - 152/10000, reward_per_episode = -82.50710239527604
episode - 153/10000, reward_per_episode = 1332.522944884353
episode - 154/10000, reward_per_episode = 383.39811320566037
episode - 155/10000, reward_per_episode = -53.55759448964082
episode - 156/10000, reward_per_episode = 372.707894152194
episode - 157/10000, reward_per_episode = 35.02104927304967
episode - 158/10000, reward_per_episode = 349.69049921818294
episode - 159/10000, reward_per_episode = 240.0
episode - 160/10000, reward_per_episode = -168.08633904630395
episode - 161/10000, reward_per_episode = 528.4700506368303
episode - 162/10000, reward_per_episode = -53.55759448964082
episode - 163/10000, reward_per_episode = 320.8667773481125
episode - 164/10000, reward_per_episode = 35.02104927304967
episode - 165/10000, reward_per_episode = 159.52759139403682
episode - 166/10000, reward_per_episode = 63.72947889910546
episode - 167/10000, reward_per_episode = 558.0339887498949
episode - 168/10000, reward_per_episode = 100.0
episode - 169/10000, reward_per_episode = -576.8884177310405
episode - 170/10000, reward_per_episode = 623.1660737912093
episode - 171/10000, reward_per_episode = 670.0473727390961
episode - 172/10000, reward_per_episode = -1009.7588893863096
episode - 173/10000, reward_per_episode = 2015.9289816725434
episode - 174/10000, reward_per_episode = 558.0339887498949
episode - 175/10000, reward_per_episode = 100.0
episode - 176/10000, reward_per_episode = 100.0
episode - 177/10000, reward_per_episode = 1097.844297102723
episode - 178/10000, reward_per_episode = -749.9781338932946
episode - 179/10000, reward_per_episode = 606.19037896906
episode - 180/10000, reward_per_episode = 186.8268877955014
episode - 181/10000, reward_per_episode = 186.8268877955014
episode - 182/10000, reward_per_episode = 100.0
episode - 183/10000, reward_per_episode = 673.8452423205619
episode - 184/10000, reward_per_episode = -459.90771690930615
episode - 185/10000, reward_per_episode = 124.09571301819133
episode - 186/10000, reward_per_episode = 35.02104927304967
episode - 187/10000, reward_per_episode = 91.05119917510156
episode - 188/10000, reward_per_episode = 35.02104927304967
episode - 189/10000, reward_per_episode = 198.58499803464986
episode - 190/10000, reward_per_episode = -158.51327666307265
episode - 191/10000, reward_per_episode = 1293.738746398631
episode - 192/10000, reward_per_episode = -16.095474243765892
episode - 193/10000, reward_per_episode = -554.1266225600345
episode - 194/10000, reward_per_episode = 1142.0452247708567
episode - 195/10000, reward_per_episode = 334.42719099991587
episode - 196/10000, reward_per_episode = 35.02104927304967
episode - 197/10000, reward_per_episode = 100.0
episode - 198/10000, reward_per_episode = 100.0
episode - 199/10000, reward_per_episode = 35.02104927304967
episode - 200/10000, reward_per_episode = -23.638282586284703
episode - 201/10000, reward_per_episode = -13.380140661266012
episode - 202/10000, reward_per_episode = 1532.156891933897
episode - 203/10000, reward_per_episode = 264.6211251235321
episode - 204/10000, reward_per_episode = 100.0
episode - 205/10000, reward_per_episode = 100.0
episode - 206/10000, reward_per_episode = 60.460398003739954
episode - 207/10000, reward_per_episode = 1030.6847559572516
episode - 208/10000, reward_per_episode = 574.5126746967778
episode - 209/10000, reward_per_episode = 288.52813742385706
episode - 210/10000, reward_per_episode = 474.3974219186297
episode - 211/10000, reward_per_episode = 100.0
episode - 212/10000, reward_per_episode = 100.0
episode - 213/10000, reward_per_episode = 60.91410117500996
episode - 214/10000, reward_per_episode = -59.386178538649034
episode - 215/10000, reward_per_episode = 507.7723056467746
episode - 216/10000, reward_per_episode = 814.6621474016899
episode - 217/10000, reward_per_episode = 333.59804060550283
episode - 218/10000, reward_per_episode = 512.4950293543903
episode - 219/10000, reward_per_episode = 668.7784193701443
episode - 220/10000, reward_per_episode = 779.3661505145785
episode - 221/10000, reward_per_episode = 100.0
episode - 222/10000, reward_per_episode = 390.3116987122408
episode - 223/10000, reward_per_episode = -166.28674024051696
episode - 224/10000, reward_per_episode = 387.7181708050591
episode - 225/10000, reward_per_episode = 1080.8975725052796
episode - 226/10000, reward_per_episode = 167.60172933744
episode - 227/10000, reward_per_episode = -10.081957779262183
episode - 228/10000, reward_per_episode = 2867.31070232
episode - 229/10000, reward_per_episode = 433.78876819599867
episode - 230/10000, reward_per_episode = 217.94732695022395
episode - 231/10000, reward_per_episode = 632.8033017635368
episode - 232/10000, reward_per_episode = -403.56376093195195
episode - 233/10000, reward_per_episode = 2242.350863857389
episode - 234/10000, reward_per_episode = 486.5902004971157
episode - 235/10000, reward_per_episode = 1014.3743203089043
episode - 236/10000, reward_per_episode = -467.1565072899655
episode - 237/10000, reward_per_episode = 1942.1674182237982
episode - 238/10000, reward_per_episode = 526.8655362541019
episode - 239/10000, reward_per_episode = 190.56139915366654
episode - 240/10000, reward_per_episode = 133.34432608723796
episode - 241/10000, reward_per_episode = 1550.3464844809482
episode - 242/10000, reward_per_episode = 221.02496759066548
episode - 243/10000, reward_per_episode = 100.0
