episode - 0/30000, accumulative_reward = 0
episode - 1/30000, accumulative_reward = -140.1254577117443
episode - 2/30000, accumulative_reward = 558.1988600826332
episode - 3/30000, accumulative_reward = 2583.9059760481114
episode - 4/30000, accumulative_reward = 965.7374120437673
episode - 5/30000, accumulative_reward = 3123.5503544498524
episode - 6/30000, accumulative_reward = 3174.7208111297455
episode - 7/30000, accumulative_reward = 4574.024276805485
episode - 8/30000, accumulative_reward = 5301.7011532693
episode - 9/30000, accumulative_reward = 5671.065446173559
episode - 10/30000, accumulative_reward = 5849.161983483325
episode - 11/30000, accumulative_reward = 6289.520764370717
episode - 12/30000, accumulative_reward = 5739.011097142462
episode - 13/30000, accumulative_reward = 6189.987104645886
episode - 14/30000, accumulative_reward = 6170.714320840703
episode - 15/30000, accumulative_reward = 10526.9840670706
episode - 16/30000, accumulative_reward = 10588.796416674706
episode - 17/30000, accumulative_reward = 10769.713787719653
episode - 18/30000, accumulative_reward = 11438.788782877384
episode - 19/30000, accumulative_reward = 11192.96830201938
episode - 20/30000, accumulative_reward = 12099.439928248674
episode - 21/30000, accumulative_reward = 12310.596894655799
episode - 22/30000, accumulative_reward = 12249.987186991682
episode - 23/30000, accumulative_reward = 12600.3800427749
episode - 24/30000, accumulative_reward = 12788.09500134033
episode - 25/30000, accumulative_reward = 12750.961338183988
episode - 26/30000, accumulative_reward = 13671.648370967727
episode - 27/30000, accumulative_reward = 14007.655849290977
episode - 28/30000, accumulative_reward = 14843.160612200734
episode - 29/30000, accumulative_reward = 14593.408734169094
episode - 30/30000, accumulative_reward = 15872.60598655752
episode - 31/30000, accumulative_reward = 15674.820948754948
episode - 32/30000, accumulative_reward = 15301.185849867361
episode - 33/30000, accumulative_reward = 16590.096438861332
episode - 34/30000, accumulative_reward = 16583.681436895982
episode - 35/30000, accumulative_reward = 16864.561023517723
episode - 36/30000, accumulative_reward = 17183.230066392956
episode - 37/30000, accumulative_reward = 17739.387692589433
episode - 38/30000, accumulative_reward = 19111.807088258553
episode - 39/30000, accumulative_reward = 19562.83804218551
episode - 40/30000, accumulative_reward = 19286.409003154076
episode - 41/30000, accumulative_reward = 22605.39849860278
episode - 42/30000, accumulative_reward = 24145.99498729892
episode - 43/30000, accumulative_reward = 24006.310785693135
episode - 44/30000, accumulative_reward = 24207.97616833233
episode - 45/30000, accumulative_reward = 24212.829464434435
