episode - 0/10000, loss = 154.58059692382812
episode - 1/10000, loss = 6.93502140045166
episode - 2/10000, loss = 288.56903076171875
episode - 3/10000, loss = 227.87547302246094
episode - 4/10000, loss = 67.54875946044922
episode - 5/10000, loss = 66.18316650390625
episode - 6/10000, loss = 73.8927001953125
episode - 7/10000, loss = 0.20088601112365723
episode - 8/10000, loss = 23.478944778442383
episode - 9/10000, loss = 49.96599197387695
episode - 10/10000, loss = 2.7195067405700684
episode - 11/10000, loss = 34.92646408081055
episode - 12/10000, loss = 9.896013259887695
episode - 13/10000, loss = 15.269098281860352
episode - 14/10000, loss = 0.9279923439025879
episode - 15/10000, loss = 29.879955291748047
episode - 16/10000, loss = 0.21399235725402832
episode - 17/10000, loss = 14.008284568786621
episode - 18/10000, loss = 10.485211372375488
episode - 19/10000, loss = 36.18998336791992
episode - 20/10000, loss = 0.8792006373405457
episode - 21/10000, loss = 76.97183227539062
episode - 22/10000, loss = 76.47435760498047
episode - 23/10000, loss = 2.8979976177215576
episode - 24/10000, loss = 8.777918815612793
episode - 25/10000, loss = 0.9267268180847168
episode - 26/10000, loss = 5.220152378082275
episode - 27/10000, loss = 57.56285858154297
episode - 28/10000, loss = 17.189302444458008
episode - 29/10000, loss = 18.473430633544922
episode - 30/10000, loss = 12.557615280151367
episode - 31/10000, loss = 61.34262466430664
episode - 32/10000, loss = 65.55457305908203
episode - 33/10000, loss = 27.848173141479492
episode - 34/10000, loss = 6.761521816253662
episode - 35/10000, loss = 44.64484405517578
episode - 36/10000, loss = 35.190155029296875
episode - 37/10000, loss = 101.38023376464844
episode - 38/10000, loss = 106.97333526611328
episode - 39/10000, loss = 31.857234954833984
episode - 40/10000, loss = 28.08697509765625
episode - 41/10000, loss = 1.297933578491211
episode - 42/10000, loss = 0.03663744777441025
episode - 43/10000, loss = 192.69960021972656
episode - 44/10000, loss = 0.7442380785942078
episode - 45/10000, loss = 0.1802532821893692
episode - 46/10000, loss = 1.3205673694610596
episode - 47/10000, loss = 5.330010414123535
episode - 48/10000, loss = 19.4216365814209
episode - 49/10000, loss = 63.53200149536133
episode - 50/10000, loss = 0.141317680478096
episode - 51/10000, loss = 28.345273971557617
episode - 52/10000, loss = 78.87007141113281
episode - 53/10000, loss = 116.08209991455078
episode - 54/10000, loss = 54.15999221801758
episode - 55/10000, loss = 18.961618423461914
episode - 56/10000, loss = 19.253162384033203
episode - 57/10000, loss = 35.23358154296875
episode - 58/10000, loss = 18.005218505859375
episode - 59/10000, loss = 23.607112884521484
episode - 60/10000, loss = 41.08625793457031
episode - 61/10000, loss = 52.28822326660156
episode - 62/10000, loss = 14.447900772094727
episode - 63/10000, loss = 2.0112385749816895
episode - 64/10000, loss = 8.86561393737793
episode - 65/10000, loss = 0.3417665958404541
episode - 66/10000, loss = 25.5455379486084
episode - 67/10000, loss = 0.24862289428710938
episode - 68/10000, loss = 76.4300765991211
episode - 69/10000, loss = 33.590171813964844
episode - 70/10000, loss = 71.10853576660156
episode - 71/10000, loss = 2.022662878036499
episode - 72/10000, loss = 36.98380661010742
episode - 73/10000, loss = 11.11474609375
episode - 74/10000, loss = 45.75391387939453
episode - 75/10000, loss = 17.120328903198242
episode - 76/10000, loss = 7.822762966156006
episode - 77/10000, loss = 0.559969425201416
episode - 78/10000, loss = 35.26776885986328
episode - 79/10000, loss = 14.713428497314453
episode - 80/10000, loss = 40.896358489990234
episode - 81/10000, loss = 69.3265380859375
episode - 82/10000, loss = 5.799874305725098
episode - 83/10000, loss = 54.287452697753906
episode - 84/10000, loss = 57.09414291381836
episode - 85/10000, loss = 132.54251098632812
episode - 86/10000, loss = 4.3232035636901855
episode - 87/10000, loss = 175.70289611816406
episode - 88/10000, loss = 0.1979067623615265
episode - 89/10000, loss = 10.093685150146484
episode - 90/10000, loss = 6.7139410972595215
episode - 91/10000, loss = 24.097007751464844
episode - 92/10000, loss = 65.63389587402344
episode - 93/10000, loss = 0.8662288188934326
episode - 94/10000, loss = 7.775014877319336
episode - 95/10000, loss = 0.04129289835691452
episode - 96/10000, loss = 5.966775894165039
episode - 97/10000, loss = 96.97701263427734
episode - 98/10000, loss = 29.45372772216797
episode - 99/10000, loss = 23.084022521972656
episode - 100/10000, loss = 0.03918661177158356
episode - 101/10000, loss = 102.71123504638672
episode - 102/10000, loss = 10.830061912536621
episode - 103/10000, loss = 0.23951320350170135
episode - 104/10000, loss = 5.690282344818115
episode - 105/10000, loss = 68.57949829101562
episode - 106/10000, loss = 42.75765609741211
episode - 107/10000, loss = 7.813880920410156
episode - 108/10000, loss = 3.0047824382781982
episode - 109/10000, loss = 5.629746913909912
episode - 110/10000, loss = 5.159142971038818
episode - 111/10000, loss = 338.0938720703125
episode - 112/10000, loss = 3.2291452884674072
episode - 113/10000, loss = 147.30413818359375
episode - 114/10000, loss = 34.13347625732422
episode - 115/10000, loss = 9.376167297363281
episode - 116/10000, loss = 544.8252563476562
episode - 117/10000, loss = 4.334349632263184
episode - 118/10000, loss = 10.570130348205566
episode - 119/10000, loss = 29.236696243286133
episode - 120/10000, loss = 149.2603759765625
episode - 121/10000, loss = 42.862571716308594
episode - 122/10000, loss = 0.20283040404319763
episode - 123/10000, loss = 2.2328736782073975
episode - 124/10000, loss = 31.4055233001709
episode - 125/10000, loss = 6.026448726654053
episode - 126/10000, loss = 120.00032043457031
episode - 127/10000, loss = 0.5416813492774963
episode - 128/10000, loss = 76.4903335571289
episode - 129/10000, loss = 145.1988983154297
episode - 130/10000, loss = 15.947019577026367
episode - 131/10000, loss = 24.20630645751953
episode - 132/10000, loss = 4.372255325317383
episode - 133/10000, loss = 153.52615356445312
episode - 134/10000, loss = 16.95209312438965
episode - 135/10000, loss = 59.387908935546875
episode - 136/10000, loss = 2.168424367904663
episode - 137/10000, loss = 17.89881134033203
episode - 138/10000, loss = 0.07214748859405518
episode - 139/10000, loss = 23.212451934814453
episode - 140/10000, loss = 0.0012566335499286652
episode - 141/10000, loss = 25.02092742919922
episode - 142/10000, loss = 1.5476189851760864
episode - 143/10000, loss = 24.21786880493164
episode - 144/10000, loss = 155.18917846679688
episode - 145/10000, loss = 6.092654705047607
episode - 146/10000, loss = 6.386593818664551
episode - 147/10000, loss = 0.17863532900810242
episode - 148/10000, loss = 27.19645118713379
episode - 149/10000, loss = 8.580766677856445
episode - 150/10000, loss = 156.50552368164062
episode - 151/10000, loss = 125.62580871582031
episode - 152/10000, loss = 3.51385498046875
episode - 153/10000, loss = 0.31253859400749207
episode - 154/10000, loss = 17.51323890686035
episode - 155/10000, loss = 14.78303337097168
episode - 156/10000, loss = 15.234708786010742
episode - 157/10000, loss = 77.16675567626953
episode - 158/10000, loss = 3.4848811626434326
episode - 159/10000, loss = 1.1557650566101074
episode - 160/10000, loss = 25.60922622680664
episode - 161/10000, loss = 35.12511444091797
episode - 162/10000, loss = 6.52531623840332
episode - 163/10000, loss = 5.684398651123047
episode - 164/10000, loss = 31.398426055908203
episode - 165/10000, loss = 19.143537521362305
episode - 166/10000, loss = 8.713041305541992
episode - 167/10000, loss = 16.67325782775879
episode - 168/10000, loss = 145.03074645996094
episode - 169/10000, loss = 0.32819727063179016
episode - 170/10000, loss = 55.56099319458008
episode - 171/10000, loss = 20.0307674407959
episode - 172/10000, loss = 63.96353530883789
episode - 173/10000, loss = 27.19941520690918
episode - 174/10000, loss = 113.2161636352539
episode - 175/10000, loss = 25.09895133972168
episode - 176/10000, loss = 14.935046195983887
episode - 177/10000, loss = 0.9554809927940369
episode - 178/10000, loss = 74.03741455078125
episode - 179/10000, loss = 17.617774963378906
episode - 180/10000, loss = 2.069031000137329
episode - 181/10000, loss = 6.647918701171875
episode - 182/10000, loss = 22.803043365478516
episode - 183/10000, loss = 49.8409538269043
episode - 184/10000, loss = 20.862215042114258
episode - 185/10000, loss = 39.74420166015625
episode - 186/10000, loss = 4.855726718902588
episode - 187/10000, loss = 20.901662826538086
episode - 188/10000, loss = 8.83428955078125
episode - 189/10000, loss = 19.783626556396484
episode - 190/10000, loss = 140.59356689453125
episode - 191/10000, loss = 0.9254382848739624
episode - 192/10000, loss = 26.753515243530273
episode - 193/10000, loss = 16.597740173339844
episode - 194/10000, loss = 120.5593032836914
episode - 195/10000, loss = 0.003543056780472398
episode - 196/10000, loss = 131.87457275390625
episode - 197/10000, loss = 28.34099006652832
episode - 198/10000, loss = 89.31002807617188
episode - 199/10000, loss = 3.646562099456787
episode - 200/10000, loss = 28.45379066467285
episode - 201/10000, loss = 1.9548113346099854
episode - 202/10000, loss = 93.19839477539062
episode - 203/10000, loss = 23.419832229614258
episode - 204/10000, loss = 1.418212890625
episode - 205/10000, loss = 10.121319770812988
episode - 206/10000, loss = 15.521477699279785
episode - 207/10000, loss = 34.13541793823242
episode - 208/10000, loss = 1.0211526155471802
episode - 209/10000, loss = 62.36811065673828
episode - 210/10000, loss = 3.8870320320129395
episode - 211/10000, loss = 13.16332721710205
episode - 212/10000, loss = 23.46206283569336
episode - 213/10000, loss = 20.691377639770508
episode - 214/10000, loss = 19.41503143310547
episode - 215/10000, loss = 15.428498268127441
episode - 216/10000, loss = 78.88233184814453
episode - 217/10000, loss = 29.081802368164062
episode - 218/10000, loss = 44.1193733215332
episode - 219/10000, loss = 107.14347076416016
episode - 220/10000, loss = 35.31330871582031
episode - 221/10000, loss = 9.393027305603027
episode - 222/10000, loss = 26.70768928527832
episode - 223/10000, loss = 20.48482322692871
episode - 224/10000, loss = 25.37946128845215
episode - 225/10000, loss = 18.637191772460938
episode - 226/10000, loss = 2.2650368213653564
episode - 227/10000, loss = 137.1247100830078
episode - 228/10000, loss = 23.05721664428711
episode - 229/10000, loss = 74.75255584716797
episode - 230/10000, loss = 27.380952835083008
episode - 231/10000, loss = 0.48690709471702576
episode - 232/10000, loss = 25.77997398376465
episode - 233/10000, loss = 24.044307708740234
episode - 234/10000, loss = 20.40202522277832
episode - 235/10000, loss = 0.8020222187042236
episode - 236/10000, loss = 24.951948165893555
episode - 237/10000, loss = 22.452407836914062
episode - 238/10000, loss = 4.840036869049072
episode - 239/10000, loss = 14.284537315368652
episode - 240/10000, loss = 42.1898307800293
episode - 241/10000, loss = 22.26474380493164
episode - 242/10000, loss = 27.921663284301758
episode - 243/10000, loss = 19.06243133544922
episode - 244/10000, loss = 1.5840938091278076
episode - 245/10000, loss = 0.05419673025608063
episode - 246/10000, loss = 2.6374118328094482
episode - 247/10000, loss = 21.693588256835938
episode - 248/10000, loss = 107.86911010742188
episode - 249/10000, loss = 23.8089656829834
episode - 250/10000, loss = 2.071399450302124
episode - 251/10000, loss = 0.9382067918777466
episode - 252/10000, loss = 103.59520721435547
episode - 253/10000, loss = 67.59410095214844
episode - 254/10000, loss = 25.69010353088379
episode - 255/10000, loss = 11.320939064025879
episode - 256/10000, loss = 132.9728546142578
episode - 257/10000, loss = 95.69279479980469
episode - 258/10000, loss = 13.452088356018066
episode - 259/10000, loss = 0.25929930806159973
episode - 260/10000, loss = 20.989076614379883
episode - 261/10000, loss = 31.354171752929688
episode - 262/10000, loss = 34.837066650390625
episode - 263/10000, loss = 12.972708702087402
episode - 264/10000, loss = 93.33442687988281
episode - 265/10000, loss = 2.157810688018799
episode - 266/10000, loss = 4.422451019287109
episode - 267/10000, loss = 105.70014190673828
episode - 268/10000, loss = 136.27606201171875
episode - 269/10000, loss = 23.152511596679688
episode - 270/10000, loss = 81.57725524902344
episode - 271/10000, loss = 19.526445388793945
episode - 272/10000, loss = 111.92219543457031
episode - 273/10000, loss = 18.63938331604004
episode - 274/10000, loss = 16.667043685913086
episode - 275/10000, loss = 54.76747512817383
episode - 276/10000, loss = 21.74505043029785
episode - 277/10000, loss = 19.629947662353516
episode - 278/10000, loss = 24.945945739746094
episode - 279/10000, loss = 44.24492263793945
episode - 280/10000, loss = 8.772497177124023
episode - 281/10000, loss = 23.937637329101562
episode - 282/10000, loss = 23.77788734436035
episode - 283/10000, loss = 23.139389038085938
episode - 284/10000, loss = 37.05461120605469
episode - 285/10000, loss = 87.58565521240234
episode - 286/10000, loss = 62.964141845703125
episode - 287/10000, loss = 99.70310974121094
episode - 288/10000, loss = 29.415971755981445
episode - 289/10000, loss = 21.27091407775879
episode - 290/10000, loss = 120.98334503173828
episode - 291/10000, loss = 113.41997528076172
episode - 292/10000, loss = 20.1271915435791
episode - 293/10000, loss = 20.345125198364258
episode - 294/10000, loss = 17.49570655822754
episode - 295/10000, loss = 10.658524513244629
episode - 296/10000, loss = 9.1185941696167
episode - 297/10000, loss = 59.836753845214844
episode - 298/10000, loss = 21.50650978088379
episode - 299/10000, loss = 317.6370849609375
episode - 300/10000, loss = 37.60042953491211
episode - 301/10000, loss = 0.2042032778263092
episode - 302/10000, loss = 16.98271369934082
episode - 303/10000, loss = 39.75257873535156
episode - 304/10000, loss = 142.79808044433594
episode - 305/10000, loss = 2.9792563915252686
episode - 306/10000, loss = 42.15974426269531
episode - 307/10000, loss = 6.688591957092285
