episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = -29.0
episode - 2/10000, accumulative_reward = -92.5
episode - 3/10000, accumulative_reward = -103.5
episode - 4/10000, accumulative_reward = -134.0
episode - 5/10000, accumulative_reward = -155.0
episode - 6/10000, accumulative_reward = -214.0
episode - 7/10000, accumulative_reward = -210.0
episode - 8/10000, accumulative_reward = -177.5
episode - 9/10000, accumulative_reward = -157.0
episode - 10/10000, accumulative_reward = -202.5
episode - 11/10000, accumulative_reward = -240.5
episode - 12/10000, accumulative_reward = -251.5
episode - 13/10000, accumulative_reward = -240.0
episode - 14/10000, accumulative_reward = -266.0
episode - 15/10000, accumulative_reward = -284.5
episode - 16/10000, accumulative_reward = -309.0
episode - 17/10000, accumulative_reward = -353.0
episode - 18/10000, accumulative_reward = -322.0
episode - 19/10000, accumulative_reward = -342.0
episode - 20/10000, accumulative_reward = -315.5
episode - 21/10000, accumulative_reward = -337.0
episode - 22/10000, accumulative_reward = -328.5
episode - 23/10000, accumulative_reward = -363.5
episode - 24/10000, accumulative_reward = -392.5
episode - 25/10000, accumulative_reward = -411.0
episode - 26/10000, accumulative_reward = -407.0
episode - 27/10000, accumulative_reward = -380.5
episode - 28/10000, accumulative_reward = -360.0
episode - 29/10000, accumulative_reward = -363.5
episode - 30/10000, accumulative_reward = -370.0
episode - 31/10000, accumulative_reward = -316.5
episode - 32/10000, accumulative_reward = -342.5
episode - 33/10000, accumulative_reward = -346.0
episode - 34/10000, accumulative_reward = -349.5
episode - 35/10000, accumulative_reward = -357.5
episode - 36/10000, accumulative_reward = -313.0
episode - 37/10000, accumulative_reward = -337.5
episode - 38/10000, accumulative_reward = -269.0
episode - 39/10000, accumulative_reward = -220.0
episode - 40/10000, accumulative_reward = -228.0
episode - 41/10000, accumulative_reward = -194.0
episode - 42/10000, accumulative_reward = -199.0
episode - 43/10000, accumulative_reward = -171.0
episode - 44/10000, accumulative_reward = -162.5
episode - 45/10000, accumulative_reward = -128.5
episode - 46/10000, accumulative_reward = -64.5
episode - 47/10000, accumulative_reward = -78.5
episode - 48/10000, accumulative_reward = -44.5
episode - 49/10000, accumulative_reward = 13.5
episode - 50/10000, accumulative_reward = 121.0
episode - 51/10000, accumulative_reward = 150.5
episode - 52/10000, accumulative_reward = 198.0
episode - 53/10000, accumulative_reward = 199.0
episode - 54/10000, accumulative_reward = 270.5
episode - 55/10000, accumulative_reward = 318.0
episode - 56/10000, accumulative_reward = 379.0
episode - 57/10000, accumulative_reward = 380.0
episode - 58/10000, accumulative_reward = 444.0
episode - 59/10000, accumulative_reward = 466.0
episode - 60/10000, accumulative_reward = 476.0
episode - 61/10000, accumulative_reward = 583.5
episode - 62/10000, accumulative_reward = 614.5
episode - 63/10000, accumulative_reward = 668.0
episode - 64/10000, accumulative_reward = 760.5
episode - 65/10000, accumulative_reward = 818.5
episode - 66/10000, accumulative_reward = 902.0
episode - 67/10000, accumulative_reward = 984.0
episode - 68/10000, accumulative_reward = 1043.5
episode - 69/10000, accumulative_reward = 1150.5
episode - 70/10000, accumulative_reward = 1246.0
episode - 71/10000, accumulative_reward = 1301.0
episode - 72/10000, accumulative_reward = 1284.5
episode - 73/10000, accumulative_reward = 1296.0
episode - 74/10000, accumulative_reward = 1337.5
episode - 75/10000, accumulative_reward = 1380.5
episode - 76/10000, accumulative_reward = 1449.0
episode - 77/10000, accumulative_reward = 1538.5
episode - 78/10000, accumulative_reward = 1589.0
episode - 79/10000, accumulative_reward = 1684.5
episode - 80/10000, accumulative_reward = 1741.0
episode - 81/10000, accumulative_reward = 1835.0
episode - 82/10000, accumulative_reward = 1891.5
episode - 83/10000, accumulative_reward = 1988.5
episode - 84/10000, accumulative_reward = 2057.0
episode - 85/10000, accumulative_reward = 2157.0
episode - 86/10000, accumulative_reward = 2207.5
episode - 87/10000, accumulative_reward = 2247.5
episode - 88/10000, accumulative_reward = 2302.5
episode - 89/10000, accumulative_reward = 2309.5
episode - 90/10000, accumulative_reward = 2393.0
episode - 91/10000, accumulative_reward = 2484.0
episode - 92/10000, accumulative_reward = 2518.0
episode - 93/10000, accumulative_reward = 2579.0
episode - 94/10000, accumulative_reward = 2680.5
episode - 95/10000, accumulative_reward = 2768.5
episode - 96/10000, accumulative_reward = 2871.5
episode - 97/10000, accumulative_reward = 2947.5
episode - 98/10000, accumulative_reward = 3004.0
episode - 99/10000, accumulative_reward = 3069.5
episode - 100/10000, accumulative_reward = 3182.5
episode - 101/10000, accumulative_reward = 3309.5
episode - 102/10000, accumulative_reward = 3370.5
episode - 103/10000, accumulative_reward = 3460.0
episode - 104/10000, accumulative_reward = 3539.0
episode - 105/10000, accumulative_reward = 3582.0
episode - 106/10000, accumulative_reward = 3674.5
episode - 107/10000, accumulative_reward = 3756.5
episode - 108/10000, accumulative_reward = 3808.5
episode - 109/10000, accumulative_reward = 3922.0
episode - 110/10000, accumulative_reward = 4027.0
episode - 111/10000, accumulative_reward = 4077.5
episode - 112/10000, accumulative_reward = 4179.0
episode - 113/10000, accumulative_reward = 4298.5
episode - 114/10000, accumulative_reward = 4335.5
episode - 115/10000, accumulative_reward = 4436.0
episode - 116/10000, accumulative_reward = 4568.0
episode - 117/10000, accumulative_reward = 4591.5
episode - 118/10000, accumulative_reward = 4673.5
episode - 119/10000, accumulative_reward = 4788.0
episode - 120/10000, accumulative_reward = 4881.0
episode - 121/10000, accumulative_reward = 4982.5
episode - 122/10000, accumulative_reward = 5042.0
episode - 123/10000, accumulative_reward = 5163.5
episode - 124/10000, accumulative_reward = 5300.5
episode - 125/10000, accumulative_reward = 5354.0
episode - 126/10000, accumulative_reward = 5439.0
episode - 127/10000, accumulative_reward = 5482.0
episode - 128/10000, accumulative_reward = 5546.0
episode - 129/10000, accumulative_reward = 5617.5
episode - 130/10000, accumulative_reward = 5647.0
episode - 131/10000, accumulative_reward = 5720.0
episode - 132/10000, accumulative_reward = 5793.0
episode - 133/10000, accumulative_reward = 5809.0
episode - 134/10000, accumulative_reward = 5894.0
episode - 135/10000, accumulative_reward = 6014.5
episode - 136/10000, accumulative_reward = 6087.5
episode - 137/10000, accumulative_reward = 6162.0
episode - 138/10000, accumulative_reward = 6267.5
episode - 139/10000, accumulative_reward = 6375.0
episode - 140/10000, accumulative_reward = 6434.5
episode - 141/10000, accumulative_reward = 6556.0
episode - 142/10000, accumulative_reward = 6680.5
episode - 143/10000, accumulative_reward = 6806.0
episode - 144/10000, accumulative_reward = 6931.5
episode - 145/10000, accumulative_reward = 7012.0
episode - 146/10000, accumulative_reward = 6939.5
episode - 147/10000, accumulative_reward = 6999.0
episode - 148/10000, accumulative_reward = 7105.0
episode - 149/10000, accumulative_reward = 7214.5
episode - 150/10000, accumulative_reward = 7299.5
episode - 151/10000, accumulative_reward = 7372.5
episode - 152/10000, accumulative_reward = 7478.0
episode - 153/10000, accumulative_reward = 7545.0
episode - 154/10000, accumulative_reward = 7612.0
episode - 155/10000, accumulative_reward = 7709.5
episode - 156/10000, accumulative_reward = 7772.0
episode - 157/10000, accumulative_reward = 7795.5
episode - 158/10000, accumulative_reward = 7868.5
episode - 159/10000, accumulative_reward = 7937.0
episode - 160/10000, accumulative_reward = 7993.5
episode - 161/10000, accumulative_reward = 8027.5
episode - 162/10000, accumulative_reward = 8106.5
episode - 163/10000, accumulative_reward = 8149.5
episode - 164/10000, accumulative_reward = 8270.0
episode - 165/10000, accumulative_reward = 8384.0
episode - 166/10000, accumulative_reward = 8472.0
episode - 167/10000, accumulative_reward = 8534.5
episode - 168/10000, accumulative_reward = 8583.5
episode - 169/10000, accumulative_reward = 8664.0
episode - 170/10000, accumulative_reward = 8773.0
episode - 171/10000, accumulative_reward = 8838.5
episode - 172/10000, accumulative_reward = 8949.0
episode - 173/10000, accumulative_reward = 9032.5
