episode - 0/10000, accumulative_reward = 0
episode - 122/10000, accumulative_reward = 93748.89054994589
episode - 123/10000, accumulative_reward = 93841.2095526583
episode - 124/10000, accumulative_reward = 95121.41648191966
episode - 125/10000, accumulative_reward = 96290.92934027569
episode - 126/10000, accumulative_reward = 96926.91006005714
episode - 127/10000, accumulative_reward = 98965.08846546427
episode - 128/10000, accumulative_reward = 98582.50466854751
episode - 129/10000, accumulative_reward = 100858.52834546591
episode - 130/10000, accumulative_reward = 101475.67068623476
episode - 131/10000, accumulative_reward = 102108.31482947528
episode - 132/10000, accumulative_reward = 100928.83844887903
episode - 133/10000, accumulative_reward = 101045.87522176666
episode - 134/10000, accumulative_reward = 102742.16351478903
episode - 135/10000, accumulative_reward = 103751.79577889408
episode - 136/10000, accumulative_reward = 104134.47184626864
episode - 137/10000, accumulative_reward = 105708.02094895086
episode - 138/10000, accumulative_reward = 105813.00288246595
episode - 139/10000, accumulative_reward = 107013.69676137865
episode - 140/10000, accumulative_reward = 107516.96974925105
episode - 141/10000, accumulative_reward = 108552.96944397739
episode - 142/10000, accumulative_reward = 110298.23730700776
episode - 143/10000, accumulative_reward = 111208.31140341982
episode - 144/10000, accumulative_reward = 111841.89101648048
episode - 145/10000, accumulative_reward = 112479.14178764401
episode - 146/10000, accumulative_reward = 114769.79097363881
episode - 147/10000, accumulative_reward = 116640.1169972062
episode - 148/10000, accumulative_reward = 117831.23877735766
episode - 149/10000, accumulative_reward = 118329.90872453469
episode - 150/10000, accumulative_reward = 120126.24010821531
episode - 151/10000, accumulative_reward = 121548.9136771828
episode - 152/10000, accumulative_reward = 121641.04072229817
episode - 153/10000, accumulative_reward = 124163.62996737358
episode - 154/10000, accumulative_reward = 124978.83297089249
episode - 155/10000, accumulative_reward = 126090.48166104291
episode - 156/10000, accumulative_reward = 128273.2738671787
episode - 157/10000, accumulative_reward = 129165.48351662546
episode - 158/10000, accumulative_reward = 130979.06797880471
episode - 159/10000, accumulative_reward = 132458.73385573618
episode - 160/10000, accumulative_reward = 133943.47678019787
episode - 161/10000, accumulative_reward = 133756.7418713445
episode - 162/10000, accumulative_reward = 134874.79908345325
episode - 163/10000, accumulative_reward = 136981.90917538624
episode - 164/10000, accumulative_reward = 137914.3033934802
episode - 165/10000, accumulative_reward = 139695.7738168986
episode - 166/10000, accumulative_reward = 140336.710529047
episode - 167/10000, accumulative_reward = 141886.10000789992
episode - 168/10000, accumulative_reward = 145437.57801316614
episode - 169/10000, accumulative_reward = 146456.525378531
episode - 170/10000, accumulative_reward = 147856.22552045496
episode - 171/10000, accumulative_reward = 149373.2631649995
episode - 172/10000, accumulative_reward = 150716.9507588667
episode - 173/10000, accumulative_reward = 151737.13987722067
episode - 174/10000, accumulative_reward = 153268.54887428862
episode - 175/10000, accumulative_reward = 154610.07581684872
episode - 176/10000, accumulative_reward = 157298.53636486238
episode - 177/10000, accumulative_reward = 158561.50671883847
episode - 178/10000, accumulative_reward = 159632.0444809355
episode - 179/10000, accumulative_reward = 161304.50660118138
episode - 180/10000, accumulative_reward = 162101.09285284288
episode - 181/10000, accumulative_reward = 162618.49840010641
episode - 182/10000, accumulative_reward = 164077.63026994225
episode - 183/10000, accumulative_reward = 164485.28070905793
episode - 184/10000, accumulative_reward = 168437.20330719993
episode - 185/10000, accumulative_reward = 168288.73040685334
episode - 186/10000, accumulative_reward = 172077.20605352495
episode - 187/10000, accumulative_reward = 173328.0962262863
episode - 188/10000, accumulative_reward = 173618.08364910955
episode - 189/10000, accumulative_reward = 174066.21571203618
episode - 190/10000, accumulative_reward = 177292.67322732587
episode - 191/10000, accumulative_reward = 178798.31741899595
episode - 192/10000, accumulative_reward = 180241.0591187929
episode - 193/10000, accumulative_reward = 182223.08702983469
episode - 194/10000, accumulative_reward = 182547.13983457547
episode - 195/10000, accumulative_reward = 184143.41417509186
episode - 196/10000, accumulative_reward = 185903.6432483041
episode - 197/10000, accumulative_reward = 186094.2621497259
episode - 198/10000, accumulative_reward = 186166.09452973725
episode - 199/10000, accumulative_reward = 188684.23441090222
episode - 200/10000, accumulative_reward = 190707.21529204107
episode - 201/10000, accumulative_reward = 191787.11427936342
episode - 202/10000, accumulative_reward = 193777.0637730246
episode - 203/10000, accumulative_reward = 194857.42242748017
episode - 204/10000, accumulative_reward = 196390.87480539578
episode - 205/10000, accumulative_reward = 196911.55635631937
episode - 206/10000, accumulative_reward = 200683.78054214467
episode - 207/10000, accumulative_reward = 202634.55110289183
episode - 208/10000, accumulative_reward = 202192.60188974536
episode - 209/10000, accumulative_reward = 204623.82507569913
episode - 210/10000, accumulative_reward = 207875.53690258472
episode - 211/10000, accumulative_reward = 209547.9990228306
episode - 212/10000, accumulative_reward = 211419.84494510994
episode - 213/10000, accumulative_reward = 212883.3964201872
episode - 214/10000, accumulative_reward = 215207.97327239084
episode - 215/10000, accumulative_reward = 216880.43539263672
episode - 216/10000, accumulative_reward = 217748.28177730087
episode - 217/10000, accumulative_reward = 219420.74389754675
episode - 218/10000, accumulative_reward = 220908.84093640302
episode - 219/10000, accumulative_reward = 222041.22853547268
episode - 220/10000, accumulative_reward = 222492.57257150894
episode - 221/10000, accumulative_reward = 222813.60621574722
episode - 222/10000, accumulative_reward = 224021.35354586167
episode - 223/10000, accumulative_reward = 225940.27622078592
episode - 224/10000, accumulative_reward = 226052.56979041826
episode - 225/10000, accumulative_reward = 228646.46433229794
episode - 226/10000, accumulative_reward = 228882.00086740075
episode - 227/10000, accumulative_reward = 231288.5773771697
episode - 228/10000, accumulative_reward = 233158.90340073712
episode - 229/10000, accumulative_reward = 234029.45678553532
episode - 230/10000, accumulative_reward = 234968.33054386714
episode - 231/10000, accumulative_reward = 234949.95709884597
episode - 232/10000, accumulative_reward = 237787.21912893042
episode - 233/10000, accumulative_reward = 238823.54611938694
episode - 234/10000, accumulative_reward = 239854.70319141654
episode - 235/10000, accumulative_reward = 241806.60373669426
episode - 236/10000, accumulative_reward = 243748.2541661438
episode - 237/10000, accumulative_reward = 245570.50591577153
episode - 238/10000, accumulative_reward = 247227.338882666
episode - 239/10000, accumulative_reward = 247554.15649884546
episode - 240/10000, accumulative_reward = 249182.39354886327
episode - 241/10000, accumulative_reward = 250854.85566910915
episode - 242/10000, accumulative_reward = 252456.56881164215
episode - 243/10000, accumulative_reward = 252311.91511734301
episode - 244/10000, accumulative_reward = 254706.82059044056
episode - 245/10000, accumulative_reward = 259334.6210325316
episode - 246/10000, accumulative_reward = 258587.01519492047
episode - 247/10000, accumulative_reward = 261180.29960356827
episode - 248/10000, accumulative_reward = 263170.24909722945
episode - 249/10000, accumulative_reward = 263455.6206346551
episode - 250/10000, accumulative_reward = 266011.58666141663
episode - 251/10000, accumulative_reward = 268001.5361550778
episode - 252/10000, accumulative_reward = 269673.99827532365
episode - 253/10000, accumulative_reward = 269729.41629042046
episode - 254/10000, accumulative_reward = 272910.1133209548
episode - 255/10000, accumulative_reward = 274582.57544120064
episode - 256/10000, accumulative_reward = 276040.8664206888
episode - 257/10000, accumulative_reward = 277713.32854093466
episode - 258/10000, accumulative_reward = 279385.7906611805
episode - 259/10000, accumulative_reward = 279621.3271962833
episode - 260/10000, accumulative_reward = 281023.76933785673
episode - 261/10000, accumulative_reward = 282225.0425909921
episode - 262/10000, accumulative_reward = 282231.8802740211
episode - 263/10000, accumulative_reward = 284543.89356580784
episode - 264/10000, accumulative_reward = 287149.5695443782
episode - 265/10000, accumulative_reward = 287818.53115398105
episode - 266/10000, accumulative_reward = 289808.4806476422
episode - 267/10000, accumulative_reward = 291480.9427678881
episode - 268/10000, accumulative_reward = 291716.4793029909
episode - 269/10000, accumulative_reward = 292723.97886740684
episode - 270/10000, accumulative_reward = 294483.69542879116
episode - 271/10000, accumulative_reward = 296156.157549037
episode - 272/10000, accumulative_reward = 298097.8079784866
episode - 273/10000, accumulative_reward = 300348.9519679269
episode - 274/10000, accumulative_reward = 302021.4140881728
