episode - 0/10000, loss = 4947.029296875
episode - 1/10000, loss = 2643.10498046875
episode - 2/10000, loss = 24164.890625
episode - 3/10000, loss = 10191.8857421875
episode - 4/10000, loss = 35045.40234375
episode - 5/10000, loss = 8521.62890625
episode - 6/10000, loss = 0.11773491650819778
episode - 7/10000, loss = 3.125412940979004
episode - 8/10000, loss = 161.6055145263672
episode - 9/10000, loss = 42516.671875
episode - 10/10000, loss = 39626.69140625
episode - 11/10000, loss = 5343.505859375
episode - 12/10000, loss = 560.232177734375
episode - 13/10000, loss = 26562.037109375
episode - 14/10000, loss = 38362.3515625
episode - 15/10000, loss = 7676.4375
episode - 16/10000, loss = 3782.1279296875
episode - 17/10000, loss = 1829.1009521484375
episode - 18/10000, loss = 9017.8154296875
episode - 19/10000, loss = 169.10003662109375
episode - 20/10000, loss = 8846.3671875
episode - 21/10000, loss = 10463.7841796875
episode - 22/10000, loss = 31983.25390625
episode - 23/10000, loss = 1997.70263671875
episode - 24/10000, loss = 36923.14453125
episode - 25/10000, loss = 5729.4638671875
episode - 26/10000, loss = 148.16455078125
episode - 27/10000, loss = 8269.1318359375
episode - 28/10000, loss = 587.0816650390625
episode - 29/10000, loss = 8646.064453125
episode - 30/10000, loss = 19618.806640625
episode - 31/10000, loss = 1.2025505304336548
episode - 32/10000, loss = 7297.1494140625
episode - 33/10000, loss = 518.8344116210938
episode - 34/10000, loss = 2462.926025390625
episode - 35/10000, loss = 0.7057541012763977
episode - 36/10000, loss = 7823.92041015625
episode - 37/10000, loss = 7293.015625
episode - 38/10000, loss = 8999.923828125
episode - 39/10000, loss = 6692.0244140625
episode - 40/10000, loss = 583.5902099609375
episode - 41/10000, loss = 20940.751953125
episode - 42/10000, loss = 605.5175170898438
episode - 43/10000, loss = 917.3534545898438
episode - 44/10000, loss = 7216.33740234375
episode - 45/10000, loss = 22113.5234375
episode - 46/10000, loss = 159.81195068359375
episode - 47/10000, loss = 16.183046340942383
episode - 48/10000, loss = 604.0635986328125
episode - 49/10000, loss = 8382.9638671875
episode - 50/10000, loss = 4820.12548828125
episode - 51/10000, loss = 5130.30126953125
episode - 52/10000, loss = 7192.228515625
episode - 53/10000, loss = 263.6956481933594
episode - 54/10000, loss = 11649.3828125
episode - 55/10000, loss = 12265.4326171875
episode - 56/10000, loss = 2007.8172607421875
episode - 57/10000, loss = 84.60140991210938
episode - 58/10000, loss = 4176.41748046875
episode - 59/10000, loss = 2450.642822265625
episode - 60/10000, loss = 2281.742919921875
episode - 61/10000, loss = 63393.24609375
episode - 62/10000, loss = 30254.296875
episode - 63/10000, loss = 18110.421875
episode - 64/10000, loss = 9173.1884765625
episode - 65/10000, loss = 35.61782455444336
episode - 66/10000, loss = 365.7576599121094
episode - 67/10000, loss = 436.4696960449219
episode - 68/10000, loss = 4865.9716796875
episode - 69/10000, loss = 6977.99853515625
episode - 70/10000, loss = 1136.9615478515625
episode - 71/10000, loss = 566.3095703125
episode - 72/10000, loss = 3144.318115234375
episode - 73/10000, loss = 411.7047119140625
episode - 74/10000, loss = 6162.5205078125
episode - 75/10000, loss = 586.76025390625
episode - 76/10000, loss = 3568.374267578125
episode - 77/10000, loss = 6841.78173828125
episode - 78/10000, loss = 4750.42236328125
episode - 79/10000, loss = 76.73451232910156
episode - 80/10000, loss = 7931.49267578125
episode - 81/10000, loss = 73.6058578491211
episode - 82/10000, loss = 43879.96875
episode - 83/10000, loss = 6029.677734375
episode - 84/10000, loss = 1758.9078369140625
episode - 85/10000, loss = 28563.810546875
episode - 86/10000, loss = 15392.4443359375
episode - 87/10000, loss = 27367.8046875
episode - 88/10000, loss = 959.8231201171875
episode - 89/10000, loss = 10564.5576171875
episode - 90/10000, loss = 7705.84375
episode - 91/10000, loss = 3905.919921875
episode - 92/10000, loss = 10603.6240234375
episode - 93/10000, loss = 377.74530029296875
episode - 94/10000, loss = 873.0658569335938
episode - 95/10000, loss = 21888.57421875
episode - 96/10000, loss = 4528.19384765625
episode - 97/10000, loss = 51429.5546875
episode - 98/10000, loss = 9918.6767578125
episode - 99/10000, loss = 11205.48046875
episode - 100/10000, loss = 32993.84375
