episode - 151/10000, loss = 1.6277307271957397
episode - 152/10000, loss = 16.25051498413086
episode - 153/10000, loss = 31.442752838134766
episode - 154/10000, loss = 5.3553690910339355
episode - 155/10000, loss = 14.064373970031738
episode - 156/10000, loss = 2.8208119869232178
episode - 157/10000, loss = 18.33133888244629
episode - 158/10000, loss = 151.79620361328125
episode - 159/10000, loss = 0.9066302180290222
episode - 160/10000, loss = 249.19850158691406
episode - 161/10000, loss = 610.4165649414062
episode - 162/10000, loss = 165.50758361816406
episode - 163/10000, loss = 0.06578455120325089
episode - 164/10000, loss = 62.81498336791992
episode - 165/10000, loss = 0.0993371233344078
episode - 166/10000, loss = 7.524446964263916
episode - 167/10000, loss = 112.21444702148438
episode - 168/10000, loss = 86.40301513671875
episode - 169/10000, loss = 9.617276191711426
episode - 170/10000, loss = 122.61419677734375
episode - 171/10000, loss = 60.118507385253906
episode - 172/10000, loss = 174.96307373046875
episode - 173/10000, loss = 2.6531615257263184
episode - 174/10000, loss = 400.06256103515625
episode - 175/10000, loss = 262.3572082519531
episode - 176/10000, loss = 54.196510314941406
episode - 177/10000, loss = 147.36264038085938
episode - 178/10000, loss = 0.5151932239532471
episode - 179/10000, loss = 0.043925151228904724
episode - 180/10000, loss = 20.66224479675293
episode - 181/10000, loss = 13.948890686035156
episode - 182/10000, loss = 4.056918144226074
episode - 183/10000, loss = 25.22649383544922
episode - 184/10000, loss = 26.435949325561523
episode - 185/10000, loss = 59.57497787475586
episode - 186/10000, loss = 110.60059356689453
episode - 187/10000, loss = 23.181272506713867
episode - 188/10000, loss = 0.0012808875180780888
episode - 189/10000, loss = 115.29528045654297
episode - 190/10000, loss = 225.1644744873047
episode - 191/10000, loss = 1.0314244031906128
episode - 192/10000, loss = 49.7673225402832
episode - 193/10000, loss = 0.0321219302713871
episode - 194/10000, loss = 6.687151908874512
episode - 195/10000, loss = 29.110023498535156
episode - 196/10000, loss = 768.69921875
episode - 197/10000, loss = 4.846148490905762
episode - 198/10000, loss = 99.49877166748047
episode - 199/10000, loss = 4.551558017730713
episode - 200/10000, loss = 2.5147743225097656
episode - 201/10000, loss = 1154.628662109375
episode - 202/10000, loss = 272.80328369140625
episode - 203/10000, loss = 29.286592483520508
episode - 204/10000, loss = 84.08509063720703
episode - 205/10000, loss = 0.1129283457994461
episode - 206/10000, loss = 433.6315612792969
episode - 207/10000, loss = 242.81170654296875
episode - 208/10000, loss = 67.88643646240234
episode - 209/10000, loss = 0.007559691555798054
episode - 210/10000, loss = 0.5531663298606873
episode - 211/10000, loss = 2388.630615234375
episode - 212/10000, loss = 399.0619201660156
episode - 213/10000, loss = 132.6163787841797
episode - 214/10000, loss = 23.062044143676758
episode - 215/10000, loss = 87.7249755859375
episode - 216/10000, loss = 12.310877799987793
episode - 217/10000, loss = 73.77761840820312
episode - 218/10000, loss = 0.15165501832962036
episode - 219/10000, loss = 32.04630661010742
episode - 220/10000, loss = 123.38304138183594
episode - 221/10000, loss = 17.549407958984375
episode - 222/10000, loss = 6981.1015625
episode - 223/10000, loss = 442.740234375
episode - 224/10000, loss = 831.2340087890625
episode - 225/10000, loss = 54.59128952026367
episode - 226/10000, loss = 60.03447723388672
episode - 227/10000, loss = 174.5270538330078
episode - 228/10000, loss = 1.7593592405319214
episode - 229/10000, loss = 73.36083221435547
episode - 230/10000, loss = 117.53231811523438
episode - 231/10000, loss = 675.528564453125
episode - 232/10000, loss = 3.6805944442749023
episode - 233/10000, loss = 169.28199768066406
episode - 234/10000, loss = 2.450223684310913
episode - 235/10000, loss = 412.87982177734375
episode - 236/10000, loss = 41.39171600341797
episode - 237/10000, loss = 369.32061767578125
episode - 238/10000, loss = 1.8998152017593384
episode - 239/10000, loss = 6.3178558349609375
episode - 240/10000, loss = 71.13483428955078
episode - 241/10000, loss = 7.437159538269043
episode - 242/10000, loss = 353.9931335449219
episode - 243/10000, loss = 53.67670822143555
