episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = -91.0
episode - 2/10000, accumulative_reward = -164.0
episode - 3/10000, accumulative_reward = -251.5
episode - 4/10000, accumulative_reward = -335.5
episode - 5/10000, accumulative_reward = -445.5
episode - 6/10000, accumulative_reward = -536.0
episode - 7/10000, accumulative_reward = -627.5
episode - 8/10000, accumulative_reward = -709.5
episode - 9/10000, accumulative_reward = -814.0
episode - 10/10000, accumulative_reward = -916.0
episode - 11/10000, accumulative_reward = -1001.5
episode - 12/10000, accumulative_reward = -1100.5
episode - 13/10000, accumulative_reward = -1190.0
episode - 14/10000, accumulative_reward = -1235.0
episode - 15/10000, accumulative_reward = -1263.0
episode - 16/10000, accumulative_reward = -1295.5
episode - 17/10000, accumulative_reward = -1358.0
episode - 18/10000, accumulative_reward = -1419.0
episode - 19/10000, accumulative_reward = -1448.0
episode - 20/10000, accumulative_reward = -1528.0
episode - 21/10000, accumulative_reward = -1645.0
episode - 22/10000, accumulative_reward = -1728.5
episode - 23/10000, accumulative_reward = -1792.0
episode - 24/10000, accumulative_reward = -1906.0
episode - 25/10000, accumulative_reward = -1984.0
episode - 26/10000, accumulative_reward = -2103.5
episode - 27/10000, accumulative_reward = -2148.5
episode - 28/10000, accumulative_reward = -2210.5
episode - 29/10000, accumulative_reward = -2279.5
episode - 30/10000, accumulative_reward = -2318.5
episode - 31/10000, accumulative_reward = -2372.0
episode - 32/10000, accumulative_reward = -2470.0
episode - 33/10000, accumulative_reward = -2531.5
episode - 34/10000, accumulative_reward = -2646.0
episode - 35/10000, accumulative_reward = -2700.5
episode - 36/10000, accumulative_reward = -2773.0
episode - 37/10000, accumulative_reward = -2853.0
episode - 38/10000, accumulative_reward = -2899.0
episode - 39/10000, accumulative_reward = -3039.0
episode - 40/10000, accumulative_reward = -3086.5
episode - 41/10000, accumulative_reward = -3119.5
episode - 42/10000, accumulative_reward = -3184.5
episode - 43/10000, accumulative_reward = -3230.5
episode - 44/10000, accumulative_reward = -3276.0
episode - 45/10000, accumulative_reward = -3346.0
episode - 46/10000, accumulative_reward = -3403.0
episode - 47/10000, accumulative_reward = -3465.0
episode - 48/10000, accumulative_reward = -3499.5
episode - 49/10000, accumulative_reward = -3538.5
episode - 50/10000, accumulative_reward = -3579.0
episode - 51/10000, accumulative_reward = -3628.0
episode - 52/10000, accumulative_reward = -3726.5
episode - 53/10000, accumulative_reward = -3810.5
episode - 54/10000, accumulative_reward = -3834.0
episode - 55/10000, accumulative_reward = -3914.0
episode - 56/10000, accumulative_reward = -3978.0
episode - 57/10000, accumulative_reward = -4012.5
episode - 58/10000, accumulative_reward = -4070.5
episode - 59/10000, accumulative_reward = -4143.0
episode - 60/10000, accumulative_reward = -4184.5
episode - 61/10000, accumulative_reward = -4270.5
episode - 62/10000, accumulative_reward = -4273.0
episode - 63/10000, accumulative_reward = -4345.5
episode - 64/10000, accumulative_reward = -4429.5
episode - 65/10000, accumulative_reward = -4464.5
episode - 66/10000, accumulative_reward = -4565.0
episode - 67/10000, accumulative_reward = -4586.5
episode - 68/10000, accumulative_reward = -4646.5
episode - 69/10000, accumulative_reward = -4694.0
episode - 70/10000, accumulative_reward = -4724.5
